sep=,
Type,FSVA3013,
Version,1.40,
Date,08.Dec 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,3317,
154500,58.895778656005859375,
163500,56.77999114990234375,
172500,54.74854278564453125,
181500,56.790370941162109375,
190500,50.80854034423828125,
199500,55.500736236572265625,
208500,50.621616363525390625,
217500,53.080127716064453125,
226500,50.094638824462890625,
235500,48.940433502197265625,
244500,48.626689910888671875,
253500,45.90299224853515625,
262500,51.06713104248046875,
271500,48.2577056884765625,
280500,50.362827301025390625,
289500,49.0440521240234375,
298500,47.562744140625,
307500,50.97086334228515625,
316500,48.46276092529296875,
325500,49.889286041259765625,
334500,46.81015777587890625,
343500,46.618793487548828125,
352500,48.693080902099609375,
361500,45.01715087890625,
370500,48.294277191162109375,
379500,42.970550537109375,
388500,45.847736358642578125,
397500,45.00675201416015625,
406500,44.717494964599609375,
415500,45.491451263427734375,
424500,41.78862762451171875,
433500,43.4655609130859375,
442500,38.59433746337890625,
451500,40.51953125,
460500,39.38497161865234375,
469500,39.592742919921875,
478500,40.3184814453125,
487500,37.71959686279296875,
496500,40.4417877197265625,
505500,38.756195068359375,
514500,42.2174530029296875,
523500,41.06824493408203125,
532500,39.5211029052734375,
541500,40.78093719482421875,
550500,37.71097564697265625,
559500,42.934417724609375,
568500,37.9499969482421875,
577500,39.265289306640625,
586500,39.2305450439453125,
595500,37.49365997314453125,
604500,40.63396453857421875,
613500,37.10353851318359375,
622500,39.83624267578125,
631500,36.16136932373046875,
640500,40.444549560546875,
649500,37.81987762451171875,
658500,33.99309539794921875,
667500,36.63864898681640625,
676500,31.9308624267578125,
685500,34.727630615234375,
694500,32.5914306640625,
703500,32.67864227294921875,
712500,33.6506195068359375,
721500,31.87839508056640625,
730500,32.017822265625,
739500,32.05651092529296875,
748500,33.83551788330078125,
757500,34.0754241943359375,
766500,31.84722137451171875,
775500,34.07846832275390625,
784500,29.25514984130859375,
793500,32.46685791015625,
802500,29.2635040283203125,
811500,33.0452728271484375,
820500,30.16416168212890625,
829500,31.43120574951171875,
838500,31.76920318603515625,
847500,30.92971038818359375,
856500,32.178680419921875,
865500,29.54294586181640625,
874500,29.28955841064453125,
883500,30.392974853515625,
892500,27.8761444091796875,
901500,31.683349609375,
910500,29.34847259521484375,
919500,29.86969757080078125,
928500,28.86840057373046875,
937500,28.871307373046875,
946500,28.999176025390625,
955500,28.7115478515625,
964500,32.17571258544921875,
973500,28.07996368408203125,
982500,29.227081298828125,
991500,27.43776702880859375,
1000500,29.18816375732421875,
1009500,29.4700164794921875,
1018500,27.87699127197265625,
1027500,28.1042633056640625,
1036500,26.57886505126953125,
1045500,29.51291656494140625,
1054500,26.318084716796875,
1063500,26.7041015625,
1072500,26.827392578125,
1081500,26.48126220703125,
1090500,29.2566375732421875,
1099500,25.02567291259765625,
1108500,27.47576904296875,
1117500,26.19567108154296875,
1126500,27.40712738037109375,
1135500,26.90587615966796875,
1144500,25.539459228515625,
1153500,26.34815216064453125,
1162500,23.748504638671875,
1171500,25.6519927978515625,
1180500,25.95388031005859375,
1189500,24.43096923828125,
1198500,26.74686431884765625,
1207500,24.1630706787109375,
1216500,25.157379150390625,
1225500,25.29044342041015625,
1234500,24.9012298583984375,
1243500,26.32613372802734375,
1252500,25.32190704345703125,
1261500,24.92655181884765625,
1270500,24.53511810302734375,
1279500,25.62143707275390625,
1288500,26.4439544677734375,
1297500,25.461090087890625,
1306500,24.05673980712890625,
1315500,25.18360137939453125,
1324500,24.3833770751953125,
1333500,23.6316070556640625,
1342500,25.91019439697265625,
1351500,23.31951141357421875,
1360500,23.113433837890625,
1369500,24.04364013671875,
1378500,22.58373260498046875,
1387500,23.6632537841796875,
1396500,22.9443511962890625,
1405500,22.396148681640625,
1414500,22.14878082275390625,
1423500,23.250946044921875,
1432500,24.9142608642578125,
1441500,23.46996307373046875,
1450500,23.08104705810546875,
1459500,24.0642547607421875,
1468500,22.75293731689453125,
1477500,23.9193878173828125,
1486500,21.544830322265625,
1495500,22.05693817138671875,
1504500,20.5962982177734375,
1513500,22.04424285888671875,
1522500,20.91974639892578125,
1531500,22.80645751953125,
1540500,20.35003662109375,
1549500,22.2971649169921875,
1558500,20.3195343017578125,
1567500,20.26984405517578125,
1576500,20.6639862060546875,
1585500,21.00339508056640625,
1594500,20.7728424072265625,
1603500,20.65442657470703125,
1612500,21.67124176025390625,
1621500,21.67436981201171875,
1630500,21.76593780517578125,
1639500,21.15535736083984375,
1648500,19.77370452880859375,
1657500,21.614013671875,
1666500,21.980010986328125,
1675500,20.634857177734375,
1684500,20.78324127197265625,
1693500,19.9654083251953125,
1702500,19.69300079345703125,
1711500,21.86948394775390625,
1720500,20.11171722412109375,
1729500,21.1056671142578125,
