sep=,
Type,FSVA3013,
Version,1.40,
Date,08.Dec 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,67.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,705,
9100,27.171722412109375,
9300,26.6121673583984375,
9500,25.9230499267578125,
9700,28.02667236328125,
9900,28.33190155029296875,
10100,28.9737701416015625,
10300,30.45841217041015625,
10500,32.5962066650390625,
10700,33.66519927978515625,
10900,35.35497283935546875,
11100,40.04438018798828125,
11300,41.8769683837890625,
11500,40.28273773193359375,
11700,38.007232666015625,
11900,35.4882659912109375,
12100,36.30170440673828125,
12300,36.2425079345703125,
12500,34.72846221923828125,
12700,36.92443084716796875,
12900,34.2653350830078125,
13100,30.58768463134765625,
13300,31.21649932861328125,
13500,30.56238555908203125,
13700,30.63373565673828125,
13900,30.323150634765625,
14100,30.45232391357421875,
14300,30.4359588623046875,
14500,30.694610595703125,
14700,30.77557373046875,
14900,37.665802001953125,
15100,38.65930938720703125,
15300,49.527576446533203125,
15500,61.320926666259765625,
15700,55.13768768310546875,
15900,43.493534088134765625,
16100,37.59356689453125,
16300,34.4281768798828125,
16500,32.16217041015625,
16700,32.4442291259765625,
16900,33.1921234130859375,
17100,35.4417572021484375,
17300,35.9883880615234375,
17500,35.5742645263671875,
17700,36.96419525146484375,
17900,36.8596343994140625,
18100,41.08049774169921875,
18300,44.6905364990234375,
18500,44.61603546142578125,
18700,44.0759124755859375,
18900,45.1071624755859375,
19100,46.730419158935546875,
19300,48.875213623046875,
19500,51.536693572998046875,
19700,54.4272613525390625,
19900,54.4804534912109375,
20100,51.519062042236328125,
20300,48.23760223388671875,
20500,48.155517578125,
20700,47.543918609619140625,
20900,45.923740386962890625,
21100,45.026691436767578125,
21300,46.540866851806640625,
21500,44.7445526123046875,
21700,46.6945037841796875,
21900,48.969982147216796875,
22100,49.115875244140625,
22300,49.842304229736328125,
22500,51.196712493896484375,
22700,49.828884124755859375,
22900,49.54265594482421875,
23100,48.58075714111328125,
23300,49.949977874755859375,
23500,49.784450531005859375,
23700,48.9605712890625,
23900,49.988491058349609375,
24100,50.75684356689453125,
24300,51.465793609619140625,
24500,50.8318023681640625,
24700,50.206035614013671875,
24900,50.210117340087890625,
25100,47.061038970947265625,
25300,46.591754913330078125,
25500,47.403171539306640625,
25700,47.408905029296875,
25900,48.177249908447265625,
26100,50.093959808349609375,
26300,50.94770050048828125,
26500,51.30051422119140625,
26700,55.82869720458984375,
26900,58.07692718505859375,
27100,56.979496002197265625,
27300,54.00638580322265625,
27500,51.420742034912109375,
27700,50.981781005859375,
27900,50.86041259765625,
28100,49.108547210693359375,
28300,50.110111236572265625,
28500,47.938831329345703125,
28700,44.374263763427734375,
28900,42.9713287353515625,
29100,43.064990997314453125,
29300,41.323272705078125,
29500,41.94843292236328125,
29700,42.0969085693359375,
29900,41.44702911376953125,
30100,41.51531219482421875,
30300,40.46321868896484375,
30500,45.9804840087890625,
30700,46.40392303466796875,
30900,58.534015655517578125,
31100,69.05771636962890625,
31300,67.55419921875,
31500,52.496021270751953125,
31700,45.191143035888671875,
31900,44.395030975341796875,
32100,39.999267578125,
32300,41.11263275146484375,
32500,41.00641632080078125,
32700,42.2027587890625,
32900,41.78363800048828125,
33100,39.8559722900390625,
33300,40.954559326171875,
33500,41.571197509765625,
33700,45.145709991455078125,
33900,47.9998016357421875,
34100,49.514400482177734375,
34300,46.816104888916015625,
34500,46.3488922119140625,
34700,49.981792449951171875,
34900,50.848728179931640625,
35100,52.362812042236328125,
35300,54.84563446044921875,
35500,56.5685882568359375,
35700,54.639163970947265625,
35900,50.372406005859375,
36100,49.7996826171875,
36300,47.4236907958984375,
36500,46.049182891845703125,
36700,45.405376434326171875,
36900,46.062744140625,
37100,46.241180419921875,
37300,45.851245880126953125,
37500,47.25237274169921875,
37700,48.024059295654296875,
37900,48.374332427978515625,
38100,49.50688934326171875,
38300,48.81136322021484375,
38500,48.369968414306640625,
38700,46.78754425048828125,
38900,47.70699310302734375,
39100,48.231578826904296875,
39300,47.04209136962890625,
39500,47.762744903564453125,
39700,48.658641815185546875,
39900,49.203960418701171875,
40100,48.668659210205078125,
40300,47.092464447021484375,
40500,47.628940582275390625,
40700,45.215549468994140625,
40900,43.798763275146484375,
41100,44.716777801513671875,
41300,44.405731201171875,
41500,46.255596160888671875,
41700,47.304325103759765625,
41900,48.48902130126953125,
42100,48.563114166259765625,
42300,52.356044769287109375,
42500,55.538806915283203125,
42700,55.014415740966796875,
42900,51.585391998291015625,
43100,49.197612762451171875,
43300,47.213775634765625,
43500,48.29477691650390625,
43700,45.639934539794921875,
43900,46.379230499267578125,
44100,45.7007293701171875,
44300,44.028751373291015625,
44500,39.74143218994140625,
44700,43.006587982177734375,
44900,41.46881866455078125,
45100,40.8841094970703125,
