sep=,
Type,FSVA3013,
Version,1.40,
Date,08.Dec 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,3500000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1000500000.000000,Hz
Stop,5999500000.000000,Hz
Span,4999000000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,10000000.000000,Hz
SWT,1.000000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,5000,
1000500000,0.92995452880859375,
1001500000,1.21624755859375,
1002500000,1.07808685302734375,
1003500000,0.99767303466796875,
1004500000,1.09793853759765625,
1005500000,1.26943206787109375,
1006500000,1.23470306396484375,
1007500000,1.31488037109375,
1008500000,1.44821929931640625,
1009500000,1.3765716552734375,
1010500000,1.49786376953125,
1011500000,1.5905914306640625,
1012500000,1.51770782470703125,
1013500000,1.49288177490234375,
1014500000,1.347137451171875,
1015500000,1.655059814453125,
1016500000,1.68396759033203125,
1017500000,1.752838134765625,
1018500000,1.95623779296875,
1019500000,2.3393707275390625,
1020500000,2.1624298095703125,
1021500000,2.17108917236328125,
1022500000,2.20291900634765625,
1023500000,2.20745849609375,
1024500000,1.92955780029296875,
1025500000,2.00201416015625,
1026500000,1.93759918212890625,
1027500000,1.9709320068359375,
1028500000,2.0528411865234375,
1029500000,2.50762176513671875,
1030500000,5.6375732421875,
1031500000,2.3942413330078125,
1032500000,1.8849334716796875,
1033500000,2.07175445556640625,
1034500000,1.801513671875,
1035500000,1.83856201171875,
1036500000,1.76910400390625,
1037500000,1.4843902587890625,
1038500000,1.59299468994140625,
1039500000,1.3731842041015625,
1040500000,1.17516326904296875,
1041500000,0.83785247802734375,
1042500000,1.09275054931640625,
1043500000,0.658447265625,
1044500000,0.5985565185546875,
1045500000,0.3640594482421875,
1046500000,0.53432464599609375,
1047500000,0.48553466796875,
1048500000,0.42111968994140625,
1049500000,0.4204864501953125,
1050500000,0.470672607421875,
1051500000,0.396728515625,
1052500000,0.78704833984375,
1053500000,0.65435791015625,
1054500000,0.5290679931640625,
1055500000,0.4644317626953125,
1056500000,0.613128662109375,
1057500000,0.51184844970703125,
1058500000,0.37348175048828125,
1059500000,0.46178436279296875,
1060500000,0.3958740234375,
1061500000,0.7724609375,
1062500000,0.9382781982421875,
1063500000,1.21346282958984375,
1064500000,0.905029296875,
1065500000,1.07743072509765625,
1066500000,1.12557220458984375,
1067500000,1.2456512451171875,
1068500000,1.62322235107421875,
1069500000,1.76618194580078125,
1070500000,1.99796295166015625,
1071500000,2.26494598388671875,
1072500000,2.28707122802734375,
1073500000,2.37473297119140625,
1074500000,2.26630401611328125,
1075500000,2.368377685546875,
1076500000,2.33258819580078125,
1077500000,2.2841796875,
1078500000,2.481781005859375,
1079500000,2.788543701171875,
1080500000,2.61724090576171875,
1081500000,2.4880218505859375,
1082500000,2.51557159423828125,
1083500000,2.29161834716796875,
1084500000,2.3320770263671875,
1085500000,2.23095703125,
1086500000,2.10028839111328125,
1087500000,1.97570037841796875,
1088500000,1.82389068603515625,
1089500000,1.81391143798828125,
1090500000,1.65447998046875,
1091500000,1.39873504638671875,
1092500000,1.2131195068359375,
1093500000,1.23612213134765625,
1094500000,1.02703094482421875,
1095500000,0.70929718017578125,
1096500000,0.8104400634765625,
1097500000,0.79622650146484375,
1098500000,0.6189117431640625,
1099500000,0.83966827392578125,
1100500000,0.9518585205078125,
1101500000,0.9559326171875,
1102500000,1.22362518310546875,
1103500000,1.2440185546875,
1104500000,1.21881103515625,
1105500000,1.34609222412109375,
1106500000,1.2648162841796875,
1107500000,1.08545684814453125,
1108500000,1.33734130859375,
1109500000,1.29931640625,
1110500000,1.39557647705078125,
1111500000,1.5736236572265625,
1112500000,1.392608642578125,
1113500000,1.38592529296875,
1114500000,1.51558685302734375,
1115500000,1.38066864013671875,
1116500000,1.71222686767578125,
1117500000,1.32183837890625,
1118500000,1.29486846923828125,
1119500000,1.42528533935546875,
1120500000,1.3787384033203125,
1121500000,1.41143035888671875,
1122500000,1.3868560791015625,
1123500000,1.58832550048828125,
1124500000,1.42829132080078125,
1125500000,1.23651885986328125,
1126500000,1.41864013671875,
1127500000,1.2988433837890625,
1128500000,1.13983917236328125,
1129500000,1.329498291015625,
1130500000,1.18853759765625,
1131500000,1.1282806396484375,
1132500000,1.58191680908203125,
1133500000,1.48256683349609375,
1134500000,1.42993927001953125,
1135500000,1.247467041015625,
1136500000,1.15959930419921875,
1137500000,1.12183380126953125,
1138500000,1.16541290283203125,
1139500000,1.2418060302734375,
1140500000,1.2420654296875,
1141500000,1.3506622314453125,
1142500000,1.1772613525390625,
1143500000,1.14821624755859375,
1144500000,1.22608184814453125,
1145500000,1.0312957763671875,
1146500000,1.1788330078125,
1147500000,0.97658538818359375,
1148500000,0.87061309814453125,
1149500000,0.88762664794921875,
1150500000,1.23226165771484375,
1151500000,1.2627716064453125,
1152500000,1.17992401123046875,
1153500000,1.15940093994140625,
1154500000,1.3793487548828125,
1155500000,1.2862548828125,
1156500000,1.4664154052734375,
1157500000,1.2304229736328125,
