sep=,
Type,FSVA3013,
Version,1.40,
Date,08.Dec 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,514980000.000000,Hz
Freq Offset,0.000000,Hz
Start,30060000.000000,Hz
Stop,999900000.000000,Hz
Span,969840000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,120000.000000,Hz
VBW,1000000.000000,Hz
SWT,0.674000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,8083,
30060000,16.0008697509765625,
30180000,15.24266815185546875,
30300000,16.67003631591796875,
30420000,14.3896026611328125,
30540000,14.96562957763671875,
30660000,15.209228515625,
30780000,14.19501495361328125,
30900000,14.23181915283203125,
31020000,13.72431182861328125,
31140000,13.04381561279296875,
31260000,13.85711669921875,
31380000,13.17958831787109375,
31500000,12.9353485107421875,
31620000,13.30451202392578125,
31740000,12.1467742919921875,
31860000,13.560638427734375,
31980000,12.83034515380859375,
32100000,13.22344207763671875,
32220000,12.7908782958984375,
32340000,12.14604949951171875,
32460000,12.25565338134765625,
32580000,12.07329559326171875,
32700000,12.53240203857421875,
32820000,12.53662109375,
32940000,12.75040435791015625,
33060000,13.237060546875,
33180000,13.446014404296875,
33300000,13.13671875,
33420000,12.2100982666015625,
33540000,12.50350189208984375,
33660000,12.9335784912109375,
33780000,12.87743377685546875,
33900000,11.4836883544921875,
34020000,12.5058746337890625,
34140000,12.714599609375,
34260000,14.00939178466796875,
34380000,13.2620849609375,
34500000,13.00481414794921875,
34620000,10.7869873046875,
34740000,11.4244232177734375,
34860000,11.55310821533203125,
34980000,9.6000823974609375,
35100000,9.4388580322265625,
35220000,10.032928466796875,
35340000,10.9280548095703125,
35460000,9.311370849609375,
35580000,9.32743072509765625,
35700000,10.08672332763671875,
35820000,10.4014892578125,
35940000,11.55743408203125,
36060000,10.18201446533203125,
36180000,10.3255462646484375,
36300000,8.9461669921875,
36420000,10.90943145751953125,
36540000,8.44385528564453125,
36660000,9.8631591796875,
36780000,9.98690032958984375,
36900000,9.9173431396484375,
37020000,8.63323211669921875,
37140000,9.33832550048828125,
37260000,10.0790252685546875,
37380000,11.1461334228515625,
37500000,10.41015625,
37620000,9.9085235595703125,
37740000,11.40523529052734375,
37860000,8.869537353515625,
37980000,10.3331146240234375,
38100000,10.8581695556640625,
38220000,9.5256500244140625,
38340000,9.994354248046875,
38460000,8.72135162353515625,
38580000,9.63129425048828125,
38700000,9.7444610595703125,
38820000,7.569610595703125,
38940000,7.64629364013671875,
39060000,9.33629608154296875,
39180000,8.2642364501953125,
39300000,9.16254425048828125,
39420000,9.12281036376953125,
39540000,7.9429931640625,
39660000,8.670806884765625,
39780000,7.19878387451171875,
39900000,7.258331298828125,
40020000,7.9310302734375,
40140000,8.354583740234375,
40260000,7.62723541259765625,
40380000,7.4597320556640625,
40500000,7.5915374755859375,
40620000,8.985504150390625,
40740000,8.78881072998046875,
40860000,9.16889190673828125,
40980000,8.4520111083984375,
41100000,9.0915679931640625,
41220000,9.0741729736328125,
41340000,9.20326995849609375,
41460000,9.169464111328125,
41580000,10.510833740234375,
41700000,9.1537933349609375,
41820000,9.663055419921875,
41940000,11.244537353515625,
42060000,10.00006866455078125,
42180000,9.94084930419921875,
42300000,10.4551239013671875,
42420000,9.877899169921875,
42540000,9.429046630859375,
42660000,9.8877105712890625,
42780000,10.35507965087890625,
42900000,10.2913970947265625,
43020000,9.75026702880859375,
43140000,10.22922515869140625,
43260000,9.929534912109375,
43380000,9.58048248291015625,
43500000,10.78627777099609375,
43620000,10.1170654296875,
43740000,9.61663055419921875,
43860000,9.65948486328125,
43980000,9.43553924560546875,
44100000,8.9141387939453125,
44220000,9.2058258056640625,
44340000,8.66361236572265625,
44460000,8.95661163330078125,
44580000,8.9198150634765625,
44700000,8.46012115478515625,
44820000,9.352447509765625,
44940000,9.120758056640625,
45060000,8.9075164794921875,
45180000,9.1645965576171875,
45300000,9.41248321533203125,
45420000,8.9835205078125,
45540000,8.8542327880859375,
45660000,9.26355743408203125,
45780000,9.2983551025390625,
45900000,9.797515869140625,
46020000,9.40631866455078125,
46140000,9.79987335205078125,
46260000,8.99854278564453125,
46380000,8.7816162109375,
46500000,9.24566650390625,
46620000,8.952362060546875,
46740000,8.10645294189453125,
46860000,8.55731964111328125,
46980000,8.5393524169921875,
47100000,8.60419464111328125,
47220000,8.22241973876953125,
47340000,7.93880462646484375,
47460000,7.9510650634765625,
47580000,8.601776123046875,
47700000,8.398468017578125,
47820000,8.48719024658203125,
47940000,8.7083892822265625,
48060000,8.6906585693359375,
48180000,7.9935455322265625,
48300000,7.9733123779296875,
48420000,7.35741424560546875,
48540000,8.04489898681640625,
48660000,8.8911895751953125,
48780000,9.45368194580078125,
48900000,9.35689544677734375,
49020000,9.65146636962890625,
49140000,9.0413665771484375,
49260000,9.87894439697265625,
49380000,10.02350616455078125,
49500000,9.86775970458984375,
49620000,11.1751251220703125,
49740000,10.62419891357421875,
49860000,10.57984161376953125,
49980000,10.9998321533203125,
50100000,10.517822265625,
50220000,11.11728668212890625,
