sep=,
Type,FSVA3013,
Version,1.40,
Date,08.Dec 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,514980000.000000,Hz
Freq Offset,0.000000,Hz
Start,30060000.000000,Hz
Stop,999900000.000000,Hz
Span,969840000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,120000.000000,Hz
VBW,1000000.000000,Hz
SWT,0.674000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,8083,
30060000,16.49143218994140625,
30180000,15.81040191650390625,
30300000,16.17861175537109375,
30420000,16.74037933349609375,
30540000,14.71541595458984375,
30660000,15.9367523193359375,
30780000,16.2174072265625,
30900000,14.67607879638671875,
31020000,15.2509613037109375,
31140000,14.19720458984375,
31260000,13.03730010986328125,
31380000,14.12943267822265625,
31500000,13.99028778076171875,
31620000,13.476348876953125,
31740000,12.931915283203125,
31860000,12.8784332275390625,
31980000,14.57451629638671875,
32100000,14.5893707275390625,
32220000,12.79819488525390625,
32340000,13.84452056884765625,
32460000,14.564178466796875,
32580000,13.6823883056640625,
32700000,14.2111358642578125,
32820000,14.4611053466796875,
32940000,14.49628448486328125,
33060000,13.1827545166015625,
33180000,14.25939178466796875,
33300000,14.01087188720703125,
33420000,13.53398895263671875,
33540000,13.9759368896484375,
33660000,14.87882232666015625,
33780000,14.51970672607421875,
33900000,13.05739593505859375,
34020000,12.86499786376953125,
34140000,15.29210662841796875,
34260000,15.82013702392578125,
34380000,13.49398040771484375,
34500000,11.5804901123046875,
34620000,12.57985687255859375,
34740000,13.21137237548828125,
34860000,11.7108612060546875,
34980000,10.29689788818359375,
35100000,9.72937774658203125,
35220000,10.0113983154296875,
35340000,10.5276336669921875,
35460000,9.4559173583984375,
35580000,9.79080963134765625,
35700000,10.451812744140625,
35820000,9.40838623046875,
35940000,10.89174652099609375,
36060000,9.176300048828125,
36180000,10.19256591796875,
36300000,9.54233551025390625,
36420000,9.14412689208984375,
36540000,11.63066864013671875,
36660000,9.51944732666015625,
36780000,9.87468719482421875,
36900000,10.54620361328125,
37020000,9.2377471923828125,
37140000,8.72388458251953125,
37260000,9.71204376220703125,
37380000,9.30199432373046875,
37500000,10.79596710205078125,
37620000,8.89629364013671875,
37740000,10.13541412353515625,
37860000,11.6048431396484375,
37980000,9.01564788818359375,
38100000,9.48242950439453125,
38220000,10.44147491455078125,
38340000,9.62761688232421875,
38460000,9.4299163818359375,
38580000,8.276763916015625,
38700000,8.43296051025390625,
38820000,9.08423614501953125,
38940000,8.3101043701171875,
39060000,9.00379180908203125,
39180000,8.83956146240234375,
39300000,6.982635498046875,
39420000,9.18677520751953125,
39540000,9.11560821533203125,
39660000,7.94133758544921875,
39780000,8.43326568603515625,
39900000,7.83223724365234375,
40020000,7.8418121337890625,
40140000,8.57981109619140625,
40260000,8.402435302734375,
40380000,8.6627655029296875,
40500000,7.9237213134765625,
40620000,7.5769195556640625,
40740000,8.45500946044921875,
40860000,7.65785980224609375,
40980000,8.48206329345703125,
41100000,9.45532989501953125,
41220000,8.339691162109375,
41340000,9.0150299072265625,
41460000,9.470184326171875,
41580000,9.45729827880859375,
41700000,9.29990386962890625,
41820000,8.90389251708984375,
41940000,8.78473663330078125,
42060000,9.6035308837890625,
42180000,9.04204559326171875,
42300000,8.84204864501953125,
42420000,9.0272979736328125,
42540000,8.9966278076171875,
42660000,8.7236175537109375,
42780000,8.48880767822265625,
42900000,8.77968597412109375,
43020000,10.0012359619140625,
43140000,9.54515838623046875,
43260000,9.63973236083984375,
43380000,9.3865509033203125,
43500000,8.88527679443359375,
43620000,8.52727508544921875,
43740000,9.08658599853515625,
43860000,8.9339447021484375,
43980000,8.695465087890625,
44100000,8.99918365478515625,
44220000,9.67490386962890625,
44340000,8.27365875244140625,
44460000,8.75482940673828125,
44580000,9.20583343505859375,
44700000,8.84154510498046875,
44820000,9.44522857666015625,
44940000,9.62480926513671875,
45060000,9.2672576904296875,
45180000,7.49411773681640625,
45300000,9.604888916015625,
45420000,10.1342315673828125,
45540000,9.408721923828125,
45660000,8.7798309326171875,
45780000,9.50408935546875,
45900000,9.2443084716796875,
46020000,9.48226165771484375,
46140000,8.876708984375,
46260000,9.6229400634765625,
46380000,9.098541259765625,
46500000,9.45317840576171875,
46620000,9.78665924072265625,
46740000,7.96361541748046875,
46860000,8.2793731689453125,
46980000,7.3960723876953125,
47100000,8.7402496337890625,
47220000,8.0501251220703125,
47340000,7.75507354736328125,
47460000,8.19603729248046875,
47580000,8.37424468994140625,
47700000,8.248565673828125,
47820000,7.97844696044921875,
47940000,9.13504791259765625,
48060000,8.37783050537109375,
48180000,8.363494873046875,
48300000,8.01226806640625,
48420000,7.69976806640625,
48540000,8.72003173828125,
48660000,8.2477874755859375,
48780000,8.559417724609375,
48900000,8.292510986328125,
49020000,8.23107147216796875,
49140000,9.22252655029296875,
49260000,9.50860595703125,
49380000,9.25629425048828125,
49500000,10.65947723388671875,
49620000,9.2790069580078125,
49740000,10.4463348388671875,
49860000,10.262847900390625,
49980000,10.5033111572265625,
50100000,9.6325531005859375,
