sep=,
Type,FSVA3013,
Version,1.40,
Date,09.Jan 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,83.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,705,
9100,-5.50152587890625,
9300,-5.175445556640625,
9500,-5.63564300537109375,
9700,-6.67632293701171875,
9900,-6.1257171630859375,
10100,-6.911956787109375,
10300,-6.68811798095703125,
10500,-7.16732025146484375,
10700,-7.36875152587890625,
10900,-5.7815093994140625,
11100,-5.65887451171875,
11300,-7.56781768798828125,
11500,-9.07390594482421875,
11700,-8.19983673095703125,
11900,-7.15737152099609375,
12100,-5.45087432861328125,
12300,-6.7424774169921875,
12500,-6.574493408203125,
12700,-7.82961273193359375,
12900,-8.73578643798828125,
13100,-6.74066925048828125,
13300,-3.61916351318359375,
13500,-5.75212860107421875,
13700,-7.006805419921875,
13900,-5.52639007568359375,
14100,-6.71576690673828125,
14300,-5.4782257080078125,
14500,-5.7857818603515625,
14700,-7.6027374267578125,
14900,-5.36223602294921875,
15100,-7.1450347900390625,
15300,-6.0459442138671875,
15500,-5.59246063232421875,
15700,-5.69903564453125,
15900,-6.2496490478515625,
16100,-7.08086395263671875,
16300,-4.99893951416015625,
16500,-5.168914794921875,
16700,-5.9579010009765625,
16900,-8.28131103515625,
17100,-6.430084228515625,
17300,-4.76171112060546875,
17500,-7.9341888427734375,
17700,-7.89971160888671875,
17900,-9.00527191162109375,
18100,-6.58855438232421875,
18300,-3.83692169189453125,
18500,11.46108245849609375,
18700,9.22751617431640625,
18900,-2.34151458740234375,
19100,-3.163482666015625,
19300,-6.16352081298828125,
19500,-4.27268218994140625,
19700,-4.59095001220703125,
19900,-6.50228118896484375,
20100,-4.1243896484375,
20300,-3.76700592041015625,
20500,-4.61461639404296875,
20700,-6.788665771484375,
20900,-5.28789520263671875,
21100,-4.580291748046875,
21300,-2.76538848876953125,
21500,2.01113128662109375,
21700,18.266021728515625,
21900,25.387542724609375,
22100,10.3266448974609375,
22300,0.31549072265625,
22500,-0.52629852294921875,
22700,-0.450469970703125,
22900,-4.11975860595703125,
23100,-4.8791961669921875,
23300,-5.6263580322265625,
23500,-1.52158355712890625,
23700,-5.278167724609375,
23900,-4.279998779296875,
24100,-4.034454345703125,
24300,-4.9477081298828125,
24500,-8.54152679443359375,
24700,-5.87090301513671875,
24900,-6.0441131591796875,
25100,-5.2498321533203125,
25300,-5.66352081298828125,
25500,-4.537384033203125,
25700,-3.59722137451171875,
25900,-2.27631378173828125,
26100,-3.93857574462890625,
26300,-5.67517852783203125,
26500,-5.18018341064453125,
26700,0.01255035400390625,
26900,-5.2168121337890625,
27100,-3.8605194091796875,
27300,-2.72100830078125,
27500,-3.05109405517578125,
27700,-4.545684814453125,
27900,-6.5318145751953125,
28100,-3.70555877685546875,
28300,-5.47690582275390625,
28500,-5.31180572509765625,
28700,-4.4113616943359375,
28900,-3.89914703369140625,
29100,-5.79242706298828125,
29300,-4.49591064453125,
29500,-5.77960968017578125,
29700,-4.58361053466796875,
29900,-4.68727874755859375,
30100,-5.99645233154296875,
30300,-5.62943267822265625,
30500,-3.54337310791015625,
30700,-5.43463897705078125,
30900,-6.81402587890625,
31100,-4.40232086181640625,
31300,-3.09964752197265625,
31500,-3.8537445068359375,
31700,-4.39968109130859375,
31900,-4.7587127685546875,
32100,-5.8660736083984375,
32300,-6.276641845703125,
32500,-4.61700439453125,
32700,-4.91315460205078125,
32900,-4.64404296875,
33100,-3.64397430419921875,
33300,1.86005401611328125,
33500,12.49182891845703125,
33700,19.75113677978515625,
33900,19.073760986328125,
34100,17.2030029296875,
34300,14.6338043212890625,
34500,13.26444244384765625,
34700,11.93466949462890625,
34900,4.82843017578125,
35100,-2.7444610595703125,
35300,-3.8397064208984375,
35500,-4.49539947509765625,
35700,-5.86914825439453125,
35900,-4.8546295166015625,
36100,-4.31986236572265625,
36300,-6.110107421875,
36500,-6.2118988037109375,
36700,-5.20318603515625,
36900,-5.06865692138671875,
37100,4.11499786376953125,
37300,12.59171295166015625,
37500,-0.264801025390625,
37700,-5.44134521484375,
37900,-6.1233673095703125,
38100,-4.60015869140625,
38300,-5.49219512939453125,
38500,-6.55791473388671875,
38700,-7.10079193115234375,
38900,-6.345306396484375,
39100,-6.5344390869140625,
39300,-3.73442840576171875,
39500,-4.6950531005859375,
39700,-7.06972503662109375,
39900,1.81243133544921875,
40100,6.74691009521484375,
40300,-6.69503021240234375,
40500,-4.8373260498046875,
40700,-5.12042999267578125,
40900,-6.4681396484375,
41100,-7.3674468994140625,
41300,-7.43462371826171875,
41500,-7.0254974365234375,
41700,-5.2564544677734375,
41900,-6.19988250732421875,
42100,-8.51360321044921875,
42300,-7.66680908203125,
42500,-6.52506256103515625,
42700,-6.9239654541015625,
42900,-6.561859130859375,
43100,-5.84820556640625,
