sep=,
Type,FSVA3013,
Version,1.40,
Date,09.Jan 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,86.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,3317,
154500,26.83040618896484375,
163500,26.48325347900390625,
172500,32.72015380859375,
181500,28.0120697021484375,
190500,24.06279754638671875,
199500,24.08054351806640625,
208500,22.3313140869140625,
217500,18.523773193359375,
226500,19.6194610595703125,
235500,25.552581787109375,
244500,25.6952056884765625,
253500,24.59941864013671875,
262500,26.28348541259765625,
271500,27.3961029052734375,
280500,26.42977142333984375,
289500,27.46576690673828125,
298500,25.0203399658203125,
307500,22.84466552734375,
316500,24.63481903076171875,
325500,22.13491058349609375,
334500,26.04550933837890625,
343500,27.9908447265625,
352500,26.98339080810546875,
361500,25.5165252685546875,
370500,26.3456573486328125,
379500,24.4443511962890625,
388500,20.41643524169921875,
397500,20.48139190673828125,
406500,21.62120819091796875,
415500,18.5681304931640625,
424500,20.85250091552734375,
433500,18.3094024658203125,
442500,20.4821014404296875,
451500,21.59708404541015625,
460500,21.77332305908203125,
469500,21.7763519287109375,
478500,17.64611053466796875,
487500,17.04172515869140625,
496500,18.46053314208984375,
505500,17.5745697021484375,
514500,19.52561187744140625,
523500,18.4082489013671875,
532500,22.36585235595703125,
541500,19.19452667236328125,
550500,20.39069366455078125,
559500,20.06807708740234375,
568500,17.74945831298828125,
577500,16.51358795166015625,
586500,16.7525177001953125,
595500,17.9113922119140625,
604500,18.0760650634765625,
613500,19.1473388671875,
622500,18.16800689697265625,
631500,16.5626983642578125,
640500,19.2691497802734375,
649500,16.3215789794921875,
658500,16.9547271728515625,
667500,19.08211517333984375,
676500,19.2830810546875,
685500,17.924896240234375,
694500,16.49863433837890625,
703500,17.20093536376953125,
712500,18.71527099609375,
721500,19.41992950439453125,
730500,15.543243408203125,
739500,17.62725830078125,
748500,18.6138916015625,
757500,22.5310821533203125,
766500,18.48541259765625,
775500,16.9368743896484375,
784500,18.4550323486328125,
793500,24.768798828125,
802500,23.24507904052734375,
811500,25.097198486328125,
820500,21.31343841552734375,
829500,22.39495086669921875,
838500,27.6974334716796875,
847500,27.899810791015625,
856500,26.0241241455078125,
865500,24.21306610107421875,
874500,29.2334136962890625,
883500,30.51451873779296875,
892500,34.63060760498046875,
901500,29.56446075439453125,
910500,26.1604461669921875,
919500,27.848907470703125,
928500,35.053955078125,
937500,33.0457916259765625,
946500,31.1880340576171875,
955500,28.91368865966796875,
964500,29.4373626708984375,
973500,33.81668853759765625,
982500,26.804229736328125,
991500,26.46126556396484375,
1000500,31.30908966064453125,
1009500,32.10559844970703125,
1018500,28.15052032470703125,
1027500,24.02616119384765625,
1036500,30.46570587158203125,
1045500,26.37352752685546875,
1054500,26.16485595703125,
1063500,21.98888397216796875,
1072500,24.3907928466796875,
1081500,27.02313232421875,
1090500,22.7122802734375,
1099500,20.241485595703125,
1108500,18.14699554443359375,
1117500,25.1298065185546875,
1126500,17.2729034423828125,
1135500,16.77964019775390625,
1144500,16.281707763671875,
1153500,19.00959014892578125,
1162500,19.45955657958984375,
1171500,13.89720916748046875,
1180500,13.203765869140625,
1189500,14.1299896240234375,
1198500,17.88651275634765625,
1207500,13.65981292724609375,
1216500,13.23846435546875,
1225500,17.68355560302734375,
1234500,14.74050140380859375,
1243500,16.302001953125,
1252500,14.23590850830078125,
1261500,12.5812835693359375,
1270500,11.55218505859375,
1279500,13.38111114501953125,
1288500,10.38690185546875,
1297500,10.53487396240234375,
1306500,10.55210113525390625,
1315500,13.23563385009765625,
1324500,14.5074310302734375,
1333500,13.32525634765625,
1342500,10.07062530517578125,
1351500,9.3214874267578125,
1360500,9.29958343505859375,
1369500,10.5301666259765625,
1378500,10.27893829345703125,
1387500,9.98917388916015625,
1396500,12.047515869140625,
1405500,10.15770721435546875,
1414500,13.07683563232421875,
1423500,10.94305419921875,
1432500,11.10797882080078125,
1441500,11.8770751953125,
1450500,10.72534942626953125,
1459500,9.12076568603515625,
1468500,8.79047393798828125,
1477500,12.91158294677734375,
1486500,10.18312835693359375,
1495500,10.4186248779296875,
1504500,10.3078155517578125,
1513500,8.70389556884765625,
1522500,9.77288055419921875,
1531500,11.637359619140625,
1540500,8.27228546142578125,
1549500,9.9186553955078125,
1558500,8.58272552490234375,
1567500,10.706146240234375,
1576500,11.70038604736328125,
1585500,5.865936279296875,
1594500,8.75225830078125,
1603500,7.86048126220703125,
1612500,11.73882293701171875,
1621500,11.19614410400390625,
1630500,12.6529998779296875,
1639500,13.29386138916015625,
1648500,11.5546112060546875,
1657500,12.29784393310546875,
1666500,10.22122955322265625,
1675500,9.8075103759765625,
1684500,13.8599395751953125,
1693500,12.68520355224609375,
1702500,11.0130157470703125,
1711500,11.8894195556640625,
1720500,12.80672454833984375,
