sep=,
Type,FSVA3013,
Version,1.40,
Date,09.Jan 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,514980000.000000,Hz
Freq Offset,0.000000,Hz
Start,30060000.000000,Hz
Stop,999900000.000000,Hz
Span,969840000.000000,Hz
Ref Level,89.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,120000.000000,Hz
VBW,1000000.000000,Hz
SWT,0.674000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,8083,
30060000,32.8871307373046875,
30180000,30.2720184326171875,
30300000,28.02703857421875,
30420000,29.59375,
30540000,30.798828125,
30660000,30.09806060791015625,
30780000,27.0254058837890625,
30900000,26.97154998779296875,
31020000,27.911956787109375,
31140000,26.83698272705078125,
31260000,24.5951995849609375,
31380000,24.4380340576171875,
31500000,26.55736541748046875,
31620000,27.152313232421875,
31740000,25.327392578125,
31860000,24.08631134033203125,
31980000,25.24846649169921875,
32100000,26.21741485595703125,
32220000,25.13055419921875,
32340000,24.81208038330078125,
32460000,24.2597198486328125,
32580000,26.44377899169921875,
32700000,26.821746826171875,
32820000,25.535400390625,
32940000,25.8579254150390625,
33060000,25.2465972900390625,
33180000,25.20767974853515625,
33300000,24.38005828857421875,
33420000,23.35826873779296875,
33540000,22.69031524658203125,
33660000,23.0389556884765625,
33780000,24.75710296630859375,
33900000,23.0961761474609375,
34020000,21.57979583740234375,
34140000,22.75720977783203125,
34260000,25.0326995849609375,
34380000,25.438018798828125,
34500000,24.7176666259765625,
34620000,22.9992828369140625,
34740000,26.288970947265625,
34860000,27.242279052734375,
34980000,27.5278167724609375,
35100000,26.52796173095703125,
35220000,27.87688446044921875,
35340000,27.87479400634765625,
35460000,28.11698150634765625,
35580000,28.2361297607421875,
35700000,29.41351318359375,
35820000,28.24859619140625,
35940000,32.80350494384765625,
36060000,31.59206390380859375,
36180000,30.91208648681640625,
36300000,30.715362548828125,
36420000,29.8573150634765625,
36540000,27.585205078125,
36660000,26.97815704345703125,
36780000,29.60100555419921875,
36900000,30.88323974609375,
37020000,30.82389068603515625,
37140000,27.89057159423828125,
37260000,28.210205078125,
37380000,27.75823211669921875,
37500000,29.11327362060546875,
37620000,29.30095672607421875,
37740000,29.5475616455078125,
37860000,28.88286590576171875,
37980000,25.46739959716796875,
38100000,24.85691070556640625,
38220000,26.18160247802734375,
38340000,26.61454010009765625,
38460000,27.0695648193359375,
38580000,23.98558807373046875,
38700000,23.35406494140625,
38820000,23.40374755859375,
38940000,25.051513671875,
39060000,26.75830841064453125,
39180000,25.86629486083984375,
39300000,25.773590087890625,
39420000,25.81575775146484375,
39540000,25.96903228759765625,
39660000,27.13613128662109375,
39780000,27.01451873779296875,
39900000,27.83025360107421875,
40020000,27.51580047607421875,
40140000,27.4721221923828125,
40260000,27.84445953369140625,
40380000,28.721954345703125,
40500000,30.33454132080078125,
40620000,30.11254119873046875,
40740000,30.3188934326171875,
40860000,30.1755523681640625,
40980000,30.93243408203125,
41100000,30.28022003173828125,
41220000,29.5655517578125,
41340000,29.78050994873046875,
41460000,28.5699615478515625,
41580000,27.721466064453125,
41700000,28.1113739013671875,
41820000,27.64134979248046875,
41940000,28.2789764404296875,
42060000,25.7292022705078125,
42180000,24.7889862060546875,
42300000,25.1215057373046875,
42420000,23.353546142578125,
42540000,22.02326202392578125,
42660000,21.58081817626953125,
42780000,22.46569061279296875,
42900000,23.71730804443359375,
43020000,23.61670684814453125,
43140000,21.41744232177734375,
43260000,20.59130859375,
43380000,21.3175811767578125,
43500000,20.7356414794921875,
43620000,21.087982177734375,
43740000,20.54673004150390625,
43860000,20.3650054931640625,
43980000,20.91831207275390625,
44100000,21.97420501708984375,
44220000,21.37090301513671875,
44340000,20.66553497314453125,
44460000,21.24193572998046875,
44580000,21.62078857421875,
44700000,21.76824951171875,
44820000,21.29108428955078125,
44940000,21.6794891357421875,
45060000,20.2046356201171875,
45180000,21.02404022216796875,
45300000,20.69561767578125,
45420000,22.0413055419921875,
45540000,21.90349578857421875,
45660000,22.610015869140625,
45780000,23.0503997802734375,
45900000,23.19024658203125,
46020000,23.1163330078125,
46140000,24.57649993896484375,
46260000,23.02419281005859375,
46380000,22.4125518798828125,
46500000,21.46144866943359375,
46620000,21.485443115234375,
46740000,22.07952880859375,
46860000,21.415679931640625,
46980000,23.05231475830078125,
47100000,22.55113983154296875,
47220000,22.23319244384765625,
47340000,21.094940185546875,
47460000,20.8928985595703125,
47580000,23.84809112548828125,
47700000,24.28833770751953125,
47820000,24.04412841796875,
47940000,24.20639801025390625,
48060000,23.85990142822265625,
48180000,24.8918609619140625,
48300000,24.9831695556640625,
48420000,24.945343017578125,
48540000,23.94104766845703125,
48660000,23.757415771484375,
48780000,22.98687744140625,
48900000,24.5974884033203125,
49020000,21.325042724609375,
49140000,22.79207611083984375,
49260000,24.45232391357421875,
49380000,22.7913665771484375,
49500000,22.14946746826171875,
49620000,21.84087371826171875,
49740000,22.12737274169921875,
49860000,21.62441253662109375,
49980000,20.7265167236328125,
50100000,20.00305938720703125,
50220000,20.14829254150390625,
