sep=,
Type,FSVA3013,
Version,1.40,
Date,09.Jan 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,86.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,3317,
154500,29.497711181640625,
163500,33.569183349609375,
172500,25.8182220458984375,
181500,22.37970733642578125,
190500,21.99799346923828125,
199500,25.3863067626953125,
208500,20.64537811279296875,
217500,20.2488861083984375,
226500,21.7454833984375,
235500,23.34197235107421875,
244500,25.8579254150390625,
253500,24.4521636962890625,
262500,23.90265655517578125,
271500,21.19834136962890625,
280500,23.3076324462890625,
289500,25.8990936279296875,
298500,24.8040618896484375,
307500,22.7338104248046875,
316500,23.4060516357421875,
325500,28.323089599609375,
334500,27.82990264892578125,
343500,23.90453338623046875,
352500,22.6741943359375,
361500,20.58625030517578125,
370500,21.3658599853515625,
379500,23.75002288818359375,
388500,19.4782867431640625,
397500,20.61318206787109375,
406500,25.742645263671875,
415500,24.28851318359375,
424500,21.52495574951171875,
433500,20.74364471435546875,
442500,20.3226470947265625,
451500,17.2362518310546875,
460500,16.2961273193359375,
469500,19.65044403076171875,
478500,18.51384735107421875,
487500,21.96517181396484375,
496500,19.9984130859375,
505500,19.60955810546875,
514500,21.3137664794921875,
523500,16.7719879150390625,
532500,20.15583038330078125,
541500,18.29216766357421875,
550500,15.318695068359375,
559500,15.6872711181640625,
568500,17.24493408203125,
577500,18.65155029296875,
586500,14.6086273193359375,
595500,17.799896240234375,
604500,19.1307220458984375,
613500,19.19916534423828125,
622500,16.736663818359375,
631500,14.6508636474609375,
640500,16.0374298095703125,
649500,17.32488250732421875,
658500,18.04291534423828125,
667500,19.15967559814453125,
676500,18.1609954833984375,
685500,18.96247100830078125,
694500,18.6142120361328125,
703500,14.22447967529296875,
712500,17.02962493896484375,
721500,18.54913330078125,
730500,16.79462432861328125,
739500,17.7730560302734375,
748500,17.76580047607421875,
757500,22.937225341796875,
766500,17.3427276611328125,
775500,17.7840118408203125,
784500,16.16886138916015625,
793500,22.058319091796875,
802500,21.638519287109375,
811500,21.7300872802734375,
820500,19.74695587158203125,
829500,19.2002410888671875,
838500,27.0653228759765625,
847500,21.7857818603515625,
856500,24.4194183349609375,
865500,18.78504180908203125,
874500,28.2051239013671875,
883500,27.548004150390625,
892500,30.62009429931640625,
901500,29.990234375,
910500,23.81604766845703125,
919500,30.10672760009765625,
928500,29.77419281005859375,
937500,33.76444244384765625,
946500,25.80348968505859375,
955500,26.63379669189453125,
964500,25.494415283203125,
973500,32.526458740234375,
982500,28.780364990234375,
991500,26.141448974609375,
1000500,30.9422607421875,
1009500,26.633392333984375,
1018500,30.45261383056640625,
1027500,22.820556640625,
1036500,31.35756683349609375,
1045500,24.97441864013671875,
1054500,24.90390777587890625,
1063500,21.33446502685546875,
1072500,24.16357421875,
1081500,27.12380218505859375,
1090500,18.08769989013671875,
1099500,17.3508758544921875,
1108500,14.85504150390625,
1117500,24.80322265625,
1126500,14.93912506103515625,
1135500,13.55959320068359375,
1144500,15.1506195068359375,
1153500,19.13842010498046875,
1162500,19.7301483154296875,
1171500,12.42395782470703125,
1180500,12.49407196044921875,
1189500,14.59781646728515625,
1198500,19.24285888671875,
1207500,11.90445709228515625,
1216500,11.329864501953125,
1225500,15.667327880859375,
1234500,16.53754425048828125,
1243500,15.8862762451171875,
1252500,12.2864837646484375,
1261500,10.6115264892578125,
1270500,8.23395538330078125,
1279500,14.4182586669921875,
1288500,10.0572662353515625,
1297500,12.25826263427734375,
1306500,8.94384002685546875,
1315500,11.03842926025390625,
1324500,14.14139556884765625,
1333500,11.37183380126953125,
1342500,11.37569427490234375,
1351500,9.9876708984375,
1360500,11.17195892333984375,
1369500,9.7757720947265625,
1378500,10.33945465087890625,
1387500,10.683624267578125,
1396500,11.27115631103515625,
1405500,12.404022216796875,
1414500,14.19944000244140625,
1423500,10.86446380615234375,
1432500,10.53704833984375,
1441500,12.76288604736328125,
1450500,9.17986297607421875,
1459500,10.95807647705078125,
1468500,9.2928924560546875,
1477500,11.1365814208984375,
1486500,9.01509857177734375,
1495500,10.0930938720703125,
1504500,11.65293121337890625,
1513500,8.4271087646484375,
1522500,10.24184417724609375,
1531500,10.80884552001953125,
1540500,8.53324127197265625,
1549500,10.397308349609375,
1558500,9.32163238525390625,
1567500,9.1258544921875,
1576500,8.84133148193359375,
1585500,9.39238739013671875,
1594500,10.51070404052734375,
1603500,9.880523681640625,
1612500,10.48748016357421875,
1621500,11.977081298828125,
1630500,13.0561981201171875,
1639500,13.59123992919921875,
1648500,10.64260101318359375,
1657500,10.89881134033203125,
1666500,11.800048828125,
1675500,14.88079071044921875,
1684500,13.24144744873046875,
1693500,11.26947021484375,
1702500,12.996917724609375,
1711500,11.37868499755859375,
1720500,11.8553619384765625,
1729500,12.8137664794921875,
