sep=,
Type,FSVA3013,
Version,1.40,
Date,09.Jan 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,514980000.000000,Hz
Freq Offset,0.000000,Hz
Start,30060000.000000,Hz
Stop,999900000.000000,Hz
Span,969840000.000000,Hz
Ref Level,89.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,120000.000000,Hz
VBW,1000000.000000,Hz
SWT,0.674000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,8083,
30060000,32.60581207275390625,
30180000,29.4579620361328125,
30300000,27.80437469482421875,
30420000,30.917144775390625,
30540000,31.0162506103515625,
30660000,29.86856842041015625,
30780000,26.9044342041015625,
30900000,26.1949462890625,
31020000,27.979705810546875,
31140000,27.87522125244140625,
31260000,25.35610198974609375,
31380000,24.8597564697265625,
31500000,27.6055450439453125,
31620000,28.20220947265625,
31740000,27.30677032470703125,
31860000,25.781890869140625,
31980000,25.87335205078125,
32100000,26.08489990234375,
32220000,26.9433746337890625,
32340000,26.44170379638671875,
32460000,26.7213592529296875,
32580000,27.74840545654296875,
32700000,27.903167724609375,
32820000,28.5566253662109375,
32940000,28.81244659423828125,
33060000,28.66432952880859375,
33180000,28.048370361328125,
33300000,27.31295013427734375,
33420000,25.54278564453125,
33540000,23.04146575927734375,
33660000,23.6497039794921875,
33780000,25.5890350341796875,
33900000,24.327239990234375,
34020000,22.290802001953125,
34140000,23.15567779541015625,
34260000,25.30930328369140625,
34380000,26.70688629150390625,
34500000,25.6509246826171875,
34620000,25.4137115478515625,
34740000,26.38938140869140625,
34860000,27.76419830322265625,
34980000,27.76082611083984375,
35100000,27.7935638427734375,
35220000,27.09629058837890625,
35340000,28.10640716552734375,
35460000,27.87784576416015625,
35580000,27.28311920166015625,
35700000,29.1887664794921875,
35820000,29.342559814453125,
35940000,34.18648529052734375,
36060000,28.78873443603515625,
36180000,26.96041107177734375,
36300000,28.344329833984375,
36420000,26.01074981689453125,
36540000,25.173370361328125,
36660000,25.494659423828125,
36780000,26.7503814697265625,
36900000,28.57250213623046875,
37020000,27.3776092529296875,
37140000,28.01764678955078125,
37260000,28.2570953369140625,
37380000,27.7086944580078125,
37500000,24.8469696044921875,
37620000,24.15697479248046875,
37740000,26.73920440673828125,
37860000,24.315338134765625,
37980000,23.65923309326171875,
38100000,24.37807464599609375,
38220000,25.38030242919921875,
38340000,25.981842041015625,
38460000,25.48851776123046875,
38580000,27.0556182861328125,
38700000,26.71173858642578125,
38820000,25.14678955078125,
38940000,24.23847198486328125,
39060000,24.8032073974609375,
39180000,26.014068603515625,
39300000,25.56514739990234375,
39420000,25.9257965087890625,
39540000,26.120697021484375,
39660000,26.63248443603515625,
39780000,26.44310760498046875,
39900000,27.9544677734375,
40020000,26.850189208984375,
40140000,27.8601226806640625,
40260000,28.70771026611328125,
40380000,29.46701812744140625,
40500000,28.951934814453125,
40620000,29.4605865478515625,
40740000,29.70735931396484375,
40860000,30.54949951171875,
40980000,29.57758331298828125,
41100000,29.54864501953125,
41220000,29.1714324951171875,
41340000,29.1201019287109375,
41460000,29.267364501953125,
41580000,27.46833038330078125,
41700000,28.11652374267578125,
41820000,26.9636688232421875,
41940000,26.857666015625,
42060000,25.169677734375,
42180000,24.508392333984375,
42300000,25.1580657958984375,
42420000,22.98169708251953125,
42540000,22.4412841796875,
42660000,21.135589599609375,
42780000,22.23464202880859375,
42900000,21.83806610107421875,
43020000,22.995452880859375,
43140000,21.24407196044921875,
43260000,20.2936553955078125,
43380000,19.78664398193359375,
43500000,19.30188751220703125,
43620000,19.25095367431640625,
43740000,19.01085662841796875,
43860000,18.95494842529296875,
43980000,20.77095794677734375,
44100000,22.114501953125,
44220000,21.54088592529296875,
44340000,21.1400604248046875,
44460000,21.3249359130859375,
44580000,20.356231689453125,
44700000,22.0100860595703125,
44820000,21.71710968017578125,
44940000,22.39182281494140625,
45060000,21.60523223876953125,
45180000,21.5677337646484375,
45300000,21.52155303955078125,
45420000,20.62819671630859375,
45540000,20.9547576904296875,
45660000,20.13336181640625,
45780000,21.64775848388671875,
45900000,22.00556182861328125,
46020000,19.71233367919921875,
46140000,21.27292633056640625,
46260000,19.82482147216796875,
46380000,21.1217041015625,
46500000,21.99167633056640625,
46620000,18.6527099609375,
46740000,19.35471343994140625,
46860000,19.48846435546875,
46980000,19.32940673828125,
47100000,20.36222076416015625,
47220000,20.9523468017578125,
47340000,20.94327545166015625,
47460000,22.4787139892578125,
47580000,21.71588134765625,
47700000,22.54572296142578125,
47820000,22.667388916015625,
47940000,24.21002960205078125,
48060000,24.43801116943359375,
48180000,24.9482879638671875,
48300000,24.76682281494140625,
48420000,23.94104766845703125,
48540000,25.09009552001953125,
48660000,24.15196990966796875,
48780000,23.40416717529296875,
48900000,22.93359375,
49020000,21.6198272705078125,
49140000,23.1013946533203125,
49260000,22.8692626953125,
49380000,22.7291107177734375,
49500000,22.33448028564453125,
49620000,22.30600738525390625,
49740000,21.67986297607421875,
49860000,22.21489715576171875,
49980000,20.65484619140625,
50100000,19.84503173828125,
50220000,19.3948974609375,
