sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,102.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,3317,
154500,43.568920135498046875,
163500,38.855621337890625,
172500,38.1862335205078125,
181500,35.7163848876953125,
190500,39.5791168212890625,
199500,41.3388671875,
208500,42.71028900146484375,
217500,36.271209716796875,
226500,33.19649505615234375,
235500,40.3297576904296875,
244500,37.71204376220703125,
253500,39.9167938232421875,
262500,36.7896270751953125,
271500,41.55510711669921875,
280500,41.7848358154296875,
289500,44.691654205322265625,
298500,40.39330291748046875,
307500,38.996337890625,
316500,43.578365325927734375,
325500,37.31404876708984375,
334500,36.6718902587890625,
343500,34.95845794677734375,
352500,37.43181610107421875,
361500,35.2810211181640625,
370500,36.639190673828125,
379500,31.7194061279296875,
388500,29.8802490234375,
397500,33.4952392578125,
406500,35.43804931640625,
415500,34.36544036865234375,
424500,34.83954620361328125,
433500,36.08454132080078125,
442500,32.83935546875,
451500,36.606231689453125,
460500,31.75559234619140625,
469500,30.7662353515625,
478500,32.2757110595703125,
487500,38.4608612060546875,
496500,36.06333160400390625,
505500,32.51322174072265625,
514500,35.77593231201171875,
523500,36.0016937255859375,
532500,39.84194183349609375,
541500,34.58475494384765625,
550500,36.0293426513671875,
559500,37.85872650146484375,
568500,40.97370147705078125,
577500,37.9702301025390625,
586500,34.3165435791015625,
595500,44.03443145751953125,
604500,41.25727081298828125,
613500,42.9633636474609375,
622500,38.019500732421875,
631500,44.184795379638671875,
640500,45.4081268310546875,
649500,44.168910980224609375,
658500,39.60044097900390625,
667500,39.8849639892578125,
676500,49.837005615234375,
685500,44.15300750732421875,
694500,44.846038818359375,
703500,42.29509735107421875,
712500,50.572521209716796875,
721500,49.752735137939453125,
730500,48.146820068359375,
739500,44.83792877197265625,
748500,46.78095245361328125,
757500,55.102611541748046875,
766500,50.63668060302734375,
775500,50.0626983642578125,
784500,49.888202667236328125,
793500,56.11627197265625,
802500,53.73227691650390625,
811500,57.221164703369140625,
820500,52.26493072509765625,
829500,53.1184539794921875,
838500,58.875743865966796875,
847500,61.51494598388671875,
856500,58.40511322021484375,
865500,58.074512481689453125,
874500,60.156108856201171875,
883500,62.3101806640625,
892500,67.4414520263671875,
901500,63.7347564697265625,
910500,60.438385009765625,
919500,61.7714385986328125,
928500,68.7191162109375,
937500,64.724273681640625,
946500,63.71302032470703125,
955500,62.510944366455078125,
964500,62.181194305419921875,
973500,66.36859893798828125,
982500,60.9074554443359375,
991500,61.050079345703125,
1000500,64.050750732421875,
1009500,62.929790496826171875,
1018500,59.05908966064453125,
1027500,56.863010406494140625,
1036500,64.32213592529296875,
1045500,58.63719940185546875,
1054500,58.253131866455078125,
1063500,55.382282257080078125,
1072500,59.07842254638671875,
1081500,59.811977386474609375,
1090500,52.051971435546875,
1099500,50.04848480224609375,
1108500,50.983734130859375,
1117500,57.666839599609375,
1126500,47.946430206298828125,
1135500,47.53502655029296875,
1144500,50.059238433837890625,
1153500,50.608547210693359375,
1162500,48.890735626220703125,
1171500,41.554290771484375,
1180500,43.59447479248046875,
1189500,41.64697265625,
1198500,46.9102783203125,
1207500,37.51160430908203125,
1216500,37.4807586669921875,
1225500,43.100986480712890625,
1234500,44.671360015869140625,
1243500,37.27347564697265625,
1252500,34.44342803955078125,
1261500,35.59433746337890625,
1270500,33.35544586181640625,
1279500,35.1605987548828125,
1288500,37.154754638671875,
1297500,39.60871124267578125,
1306500,30.874053955078125,
1315500,40.938079833984375,
1324500,39.14479827880859375,
1333500,26.7395172119140625,
1342500,26.87769317626953125,
1351500,26.78417205810546875,
1360500,28.02294921875,
1369500,28.007568359375,
1378500,26.18196868896484375,
1387500,27.12847900390625,
1396500,31.9222564697265625,
1405500,37.9498443603515625,
1414500,32.15431976318359375,
1423500,31.84259796142578125,
1432500,32.21404266357421875,
1441500,33.73040008544921875,
1450500,32.58698272705078125,
1459500,36.0726776123046875,
1468500,39.440460205078125,
1477500,38.84181976318359375,
1486500,31.088958740234375,
1495500,35.31827545166015625,
1504500,36.47515106201171875,
1513500,37.81331634521484375,
1522500,38.4086761474609375,
1531500,35.48775482177734375,
1540500,39.16292572021484375,
1549500,38.3697509765625,
1558500,42.52269744873046875,
1567500,40.8250732421875,
1576500,40.93042755126953125,
1585500,40.05469512939453125,
1594500,44.735668182373046875,
1603500,44.3584442138671875,
1612500,43.094573974609375,
1621500,42.80716705322265625,
1630500,44.75366973876953125,
1639500,48.47579193115234375,
1648500,44.614040374755859375,
1657500,46.502460479736328125,
1666500,48.202701568603515625,
1675500,50.365421295166015625,
1684500,46.86096954345703125,
1693500,47.507221221923828125,
1702500,45.478488922119140625,
1711500,46.598674774169921875,
1720500,52.162929534912109375,
1729500,48.35591888427734375,
