sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,3500000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1000500000.000000,Hz
Stop,5999500000.000000,Hz
Span,4999000000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,10000000.000000,Hz
SWT,0.650000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,5000,
1000500000,-1.42861175537109375,
1001500000,-1.23412322998046875,
1002500000,-1.143890380859375,
1003500000,-1.27713775634765625,
1004500000,-1.11968994140625,
1005500000,-0.8989410400390625,
1006500000,-1.048492431640625,
1007500000,-0.86400604248046875,
1008500000,-0.94499969482421875,
1009500000,-1.24997711181640625,
1010500000,-1.11100006103515625,
1011500000,-1.374481201171875,
1012500000,-1.14107513427734375,
1013500000,-1.66519927978515625,
1014500000,-1.51535797119140625,
1015500000,-1.70708465576171875,
1016500000,-1.7474365234375,
1017500000,-1.59272003173828125,
1018500000,-1.4111328125,
1019500000,-1.8422393798828125,
1020500000,-1.96613311767578125,
1021500000,-1.818359375,
1022500000,-1.96094512939453125,
1023500000,-2.06058502197265625,
1024500000,-2.56604766845703125,
1025500000,-2.5541534423828125,
1026500000,-2.39052581787109375,
1027500000,-2.59061431884765625,
1028500000,-2.726226806640625,
1029500000,-2.77826690673828125,
1030500000,-2.53545379638671875,
1031500000,-2.70034027099609375,
1032500000,-2.25397491455078125,
1033500000,-2.64452362060546875,
1034500000,-2.15369415283203125,
1035500000,-2.0467681884765625,
1036500000,-1.79869842529296875,
1037500000,-2.216339111328125,
1038500000,-2.08544921875,
1039500000,-2.43733978271484375,
1040500000,-2.66063690185546875,
1041500000,-2.69528961181640625,
1042500000,-2.90618896484375,
1043500000,-3.02909088134765625,
1044500000,-3.22579193115234375,
1045500000,-3.36679840087890625,
1046500000,-2.8749542236328125,
1047500000,-2.86681365966796875,
1048500000,-2.734222412109375,
1049500000,-2.578643798828125,
1050500000,-2.412567138671875,
1051500000,-2.53092193603515625,
1052500000,-2.7046051025390625,
1053500000,-2.24127197265625,
1054500000,-2.13967132568359375,
1055500000,-2.54363250732421875,
1056500000,-3.08020782470703125,
1057500000,-2.74073028564453125,
1058500000,-3.09574127197265625,
1059500000,-2.843475341796875,
1060500000,-3.03693389892578125,
1061500000,-3.0157623291015625,
1062500000,-2.91132354736328125,
1063500000,-2.71857452392578125,
1064500000,-2.2620849609375,
1065500000,-2.27126312255859375,
1066500000,-1.85930633544921875,
1067500000,-1.422882080078125,
1068500000,-1.02515411376953125,
1069500000,-0.67031097412109375,
1070500000,-0.383697509765625,
1071500000,-0.4122161865234375,
1072500000,-0.11707305908203125,
1073500000,0.24976348876953125,
1074500000,0.390838623046875,
1075500000,0.55046844482421875,
1076500000,0.25572967529296875,
1077500000,0.66469573974609375,
1078500000,0.93175506591796875,
1079500000,1.0471038818359375,
1080500000,1.18302154541015625,
1081500000,0.9000396728515625,
1082500000,1.1306610107421875,
1083500000,1.339111328125,
1084500000,1.42774200439453125,
1085500000,1.8829498291015625,
1086500000,1.67995452880859375,
1087500000,1.7100677490234375,
1088500000,1.68589019775390625,
1089500000,1.99662017822265625,
1090500000,1.90178680419921875,
1091500000,2.000396728515625,
1092500000,2.15444183349609375,
1093500000,2.20269775390625,
1094500000,2.92894744873046875,
1095500000,9.32004547119140625,
1096500000,11.01389312744140625,
1097500000,11.31684112548828125,
1098500000,11.4792938232421875,
1099500000,9.8947906494140625,
1100500000,3.71109771728515625,
1101500000,3.1558990478515625,
1102500000,2.8234405517578125,
1103500000,2.6207733154296875,
1104500000,2.42389678955078125,
1105500000,2.17337799072265625,
1106500000,2.52490234375,
1107500000,2.0532073974609375,
1108500000,1.9561767578125,
1109500000,2.085784912109375,
1110500000,2.510498046875,
1111500000,3.08452606201171875,
1112500000,3.62351226806640625,
1113500000,4.13751983642578125,
1114500000,4.407257080078125,
1115500000,4.4947052001953125,
1116500000,4.6780853271484375,
1117500000,5.17443084716796875,
1118500000,5.495513916015625,
1119500000,5.816619873046875,
1120500000,6.05069732666015625,
1121500000,6.05211639404296875,
1122500000,6.421783447265625,
1123500000,6.859710693359375,
1124500000,7.3212738037109375,
1125500000,7.675201416015625,
1126500000,8.07099151611328125,
1127500000,8.5287933349609375,
1128500000,8.912628173828125,
1129500000,9.10466766357421875,
1130500000,9.2813262939453125,
1131500000,9.00870513916015625,
1132500000,8.76750946044921875,
1133500000,8.477691650390625,
1134500000,8.04596710205078125,
1135500000,8.00151824951171875,
1136500000,8.26702117919921875,
1137500000,8.2018890380859375,
1138500000,8.45050048828125,
1139500000,8.18303680419921875,
1140500000,7.6182403564453125,
1141500000,7.34352874755859375,
1142500000,7.028594970703125,
1143500000,6.7593994140625,
1144500000,6.50220489501953125,
1145500000,6.08221435546875,
1146500000,5.8779754638671875,
1147500000,5.6401519775390625,
1148500000,5.2621917724609375,
1149500000,5.1220703125,
1150500000,5.07403564453125,
1151500000,4.89392852783203125,
1152500000,4.6832427978515625,
