sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,3500000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1000500000.000000,Hz
Stop,5999500000.000000,Hz
Span,4999000000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,10000000.000000,Hz
SWT,0.650000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,5000,
1000500000,-1.20151519775390625,
1001500000,-1.27667999267578125,
1002500000,-1.142364501953125,
1003500000,-0.89330291748046875,
1004500000,-1.0935516357421875,
1005500000,-0.5540924072265625,
1006500000,-0.52452850341796875,
1007500000,-0.6337890625,
1008500000,-0.795196533203125,
1009500000,-0.61229705810546875,
1010500000,-1.11395263671875,
1011500000,-1.1960296630859375,
1012500000,-1.12457275390625,
1013500000,-1.31523895263671875,
1014500000,-1.49135589599609375,
1015500000,-1.60393524169921875,
1016500000,-1.48247528076171875,
1017500000,-1.48575592041015625,
1018500000,-1.56610870361328125,
1019500000,-1.58498382568359375,
1020500000,-1.69260406494140625,
1021500000,-1.7541351318359375,
1022500000,-1.85303497314453125,
1023500000,-1.762237548828125,
1024500000,-2.424713134765625,
1025500000,-2.16979217529296875,
1026500000,-2.31533050537109375,
1027500000,-2.4322662353515625,
1028500000,-2.66596221923828125,
1029500000,-2.5367889404296875,
1030500000,-2.365631103515625,
1031500000,-2.13532257080078125,
1032500000,-2.213104248046875,
1033500000,-2.26055145263671875,
1034500000,-2.0461578369140625,
1035500000,-2.03389739990234375,
1036500000,-1.92812347412109375,
1037500000,-2.07294464111328125,
1038500000,-1.7810516357421875,
1039500000,-2.08814239501953125,
1040500000,-2.69551849365234375,
1041500000,-2.69998931884765625,
1042500000,-2.8785400390625,
1043500000,-3.169464111328125,
1044500000,-3.1145172119140625,
1045500000,-2.94606781005859375,
1046500000,-3.06514739990234375,
1047500000,-2.93317413330078125,
1048500000,-2.627349853515625,
1049500000,-2.832794189453125,
1050500000,-2.4245147705078125,
1051500000,-2.507965087890625,
1052500000,-2.488250732421875,
1053500000,-2.2971038818359375,
1054500000,-2.0874481201171875,
1055500000,-2.9239959716796875,
1056500000,-2.66226959228515625,
1057500000,-2.86426544189453125,
1058500000,-2.9786376953125,
1059500000,-2.9737548828125,
1060500000,-3.10100555419921875,
1061500000,-2.9709625244140625,
1062500000,-2.9280853271484375,
1063500000,-2.81708526611328125,
1064500000,-2.38957977294921875,
1065500000,-2.54107666015625,
1066500000,-2.211334228515625,
1067500000,-1.89882659912109375,
1068500000,-1.6148223876953125,
1069500000,-1.077545166015625,
1070500000,-0.99013519287109375,
1071500000,-0.78737640380859375,
1072500000,-0.21523284912109375,
1073500000,-0.262664794921875,
1074500000,0.04007720947265625,
1075500000,0.190765380859375,
1076500000,-0.10216522216796875,
1077500000,0.30788421630859375,
1078500000,0.59844207763671875,
1079500000,0.80633544921875,
1080500000,0.47022247314453125,
1081500000,0.5164642333984375,
1082500000,0.6782684326171875,
1083500000,1.012542724609375,
1084500000,1.285491943359375,
1085500000,1.60442352294921875,
1086500000,1.2463226318359375,
1087500000,1.288421630859375,
1088500000,1.2372283935546875,
1089500000,1.40058135986328125,
1090500000,1.5877532958984375,
1091500000,1.62345123291015625,
1092500000,1.355499267578125,
1093500000,1.655548095703125,
1094500000,2.466583251953125,
1095500000,8.64362335205078125,
1096500000,10.14432525634765625,
1097500000,10.3370208740234375,
1098500000,10.45752716064453125,
1099500000,9.04767608642578125,
1100500000,2.90338134765625,
1101500000,2.60465240478515625,
1102500000,2.0857391357421875,
1103500000,1.91455841064453125,
1104500000,1.5598907470703125,
1105500000,1.35894012451171875,
1106500000,1.6970977783203125,
1107500000,1.5709228515625,
1108500000,1.1533355712890625,
1109500000,1.1883697509765625,
1110500000,1.7394561767578125,
1111500000,2.418731689453125,
1112500000,2.91333770751953125,
1113500000,3.62390899658203125,
1114500000,3.8558502197265625,
1115500000,3.90826416015625,
1116500000,4.43306732177734375,
1117500000,4.81557464599609375,
1118500000,5.0025177001953125,
1119500000,5.39929962158203125,
1120500000,5.6212615966796875,
1121500000,5.7962799072265625,
1122500000,6.115966796875,
1123500000,6.43274688720703125,
1124500000,6.9829559326171875,
1125500000,7.588775634765625,
1126500000,8.07769012451171875,
1127500000,8.75963592529296875,
1128500000,8.87526702880859375,
1129500000,8.945526123046875,
1130500000,9.2469482421875,
1131500000,8.87349700927734375,
1132500000,8.461883544921875,
1133500000,8.279693603515625,
1134500000,7.86792755126953125,
1135500000,7.7385406494140625,
1136500000,8.09267425537109375,
1137500000,8.06812286376953125,
1138500000,8.08611297607421875,
1139500000,7.8138885498046875,
1140500000,7.75096893310546875,
1141500000,7.23797607421875,
1142500000,6.62570953369140625,
1143500000,6.7180328369140625,
1144500000,6.4218597412109375,
1145500000,6.0804595947265625,
1146500000,6.0232086181640625,
1147500000,5.85448455810546875,
1148500000,5.43289947509765625,
1149500000,5.27106475830078125,
1150500000,5.21947479248046875,
1151500000,5.12509918212890625,
