sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,77.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,-5.254669189453125,
9300,-6.25916290283203125,
9500,-6.3975982666015625,
9700,-7.7202911376953125,
9900,-8.29754638671875,
10100,-6.876922607421875,
10300,-7.3660125732421875,
10500,-5.53479766845703125,
10700,-4.20595550537109375,
10900,-7.5898284912109375,
11100,-8.524017333984375,
11300,-5.940185546875,
11500,-7.8572845458984375,
11700,-6.8653564453125,
11900,-6.92795562744140625,
12100,-7.77144622802734375,
12300,-7.24341583251953125,
12500,-8.61157989501953125,
12700,-7.0897216796875,
12900,-8.82281494140625,
13100,-6.408935546875,
13300,-6.0247955322265625,
13500,-6.69643402099609375,
13700,-6.65511322021484375,
13900,-6.64163970947265625,
14100,-7.122650146484375,
14300,-8.91138458251953125,
14500,-8.22550201416015625,
14700,-7.080810546875,
14900,-7.79189300537109375,
15100,-5.43291473388671875,
15300,-4.9158782958984375,
15500,-4.5417327880859375,
15700,-5.76218414306640625,
15900,-8.1142578125,
16100,-6.73023223876953125,
16300,-7.42193603515625,
16500,-7.78128814697265625,
16700,-5.08913421630859375,
16900,-6.36888885498046875,
17100,-7.70074462890625,
17300,-6.3256683349609375,
17500,-7.08690643310546875,
17700,-6.49349212646484375,
17900,-6.83676910400390625,
18100,-3.8580780029296875,
18300,-4.87117767333984375,
18500,1.7622528076171875,
18700,-2.2000579833984375,
18900,-7.24263763427734375,
19100,-4.4348907470703125,
19300,-5.9712066650390625,
19500,-4.1253662109375,
19700,-4.20722198486328125,
19900,-4.6422119140625,
20100,-5.83160400390625,
20300,-7.5646514892578125,
20500,-5.99712371826171875,
20700,-4.7503814697265625,
20900,-5.4659423828125,
21100,-4.749176025390625,
21300,-5.9595489501953125,
21500,-5.29499053955078125,
21700,-7.37717437744140625,
21900,7.0560150146484375,
22100,11.71115875244140625,
22300,1.36470794677734375,
22500,-4.50612640380859375,
22700,-3.8348541259765625,
22900,-4.42006683349609375,
23100,-8.369903564453125,
23300,-4.61182403564453125,
23500,-2.314697265625,
23700,-3.33246612548828125,
23900,-3.676513671875,
24100,-3.0516510009765625,
24300,-3.81505584716796875,
24500,-4.19994354248046875,
24700,-4.60486602783203125,
24900,-3.48694610595703125,
25100,-6.53609466552734375,
25300,-6.211456298828125,
25500,-4.90303802490234375,
25700,-4.61473846435546875,
25900,-3.8449249267578125,
26100,-4.34577178955078125,
26300,-5.38626861572265625,
26500,-3.02475738525390625,
26700,-3.96739959716796875,
26900,-4.686248779296875,
27100,-4.855438232421875,
27300,-3.8112640380859375,
27500,-4.875396728515625,
27700,-4.57712554931640625,
27900,-4.6420440673828125,
28100,-2.95056915283203125,
28300,-5.78394317626953125,
28500,-4.16379547119140625,
28700,-2.946044921875,
28900,-5.3750457763671875,
29100,-5.67047882080078125,
29300,-6.5684356689453125,
29500,-4.91788482666015625,
29700,-5.8568115234375,
29900,-4.6652679443359375,
30100,-5.3338165283203125,
30300,-3.94814300537109375,
30500,-4.70973968505859375,
30700,-4.55608367919921875,
30900,-4.20755767822265625,
31100,-5.84651947021484375,
31300,-6.73715972900390625,
31500,-5.7501678466796875,
31700,-5.50228118896484375,
31900,-6.4602508544921875,
32100,-8.259796142578125,
32300,-5.94709014892578125,
32500,-4.85343170166015625,
32700,-5.64892578125,
32900,-5.46872711181640625,
33100,-4.05663299560546875,
33300,-4.670623779296875,
33500,-3.8408966064453125,
33700,-5.87825775146484375,
33900,-6.48830413818359375,
34100,-4.320648193359375,
34300,-4.603790283203125,
34500,-5.16109466552734375,
34700,-6.2869873046875,
34900,-7.33263397216796875,
35100,-5.2570648193359375,
35300,-4.27880096435546875,
35500,-4.67067718505859375,
35700,-6.64038848876953125,
35900,-5.93517303466796875,
36100,-6.02863311767578125,
36300,-3.99726104736328125,
36500,-4.5844879150390625,
36700,-4.85266876220703125,
36900,-6.34726715087890625,
37100,-1.01811981201171875,
37300,-3.0935211181640625,
37500,-6.87470245361328125,
37700,-6.253021240234375,
37900,-6.05265045166015625,
38100,-6.6916961669921875,
38300,-4.55490875244140625,
38500,-6.18087005615234375,
38700,-6.61115264892578125,
38900,-5.80255889892578125,
39100,-5.2987518310546875,
39300,-6.16840362548828125,
39500,-5.85455322265625,
39700,-7.23538970947265625,
39900,-0.94779205322265625,
40100,-1.0168914794921875,
40300,-8.03264617919921875,
40500,-4.81385040283203125,
40700,-5.5722808837890625,
40900,-6.00533294677734375,
41100,-7.28621673583984375,
41300,-6.62975311279296875,
41500,-5.8023529052734375,
41700,-6.23128509521484375,
41900,-6.3212738037109375,
42100,-6.254791259765625,
42300,-7.30319976806640625,
42500,-6.0142364501953125,
42700,-6.4140625,
42900,-6.49944305419921875,
