sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,77.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,-8.49797821044921875,
9300,-6.43306732177734375,
9500,-4.51403045654296875,
9700,-3.923553466796875,
9900,-6.634613037109375,
10100,-8.74770355224609375,
10300,-7.3400115966796875,
10500,-6.9644012451171875,
10700,-5.43267059326171875,
10900,-5.758575439453125,
11100,-4.37877655029296875,
11300,-4.8126678466796875,
11500,-8.179534912109375,
11700,-5.38539886474609375,
11900,-6.99308013916015625,
12100,-6.81748199462890625,
12300,-5.59801483154296875,
12500,-4.360137939453125,
12700,-7.0063323974609375,
12900,-5.55059051513671875,
13100,-7.82294464111328125,
13300,-5.70807647705078125,
13500,-5.65723419189453125,
13700,-6.63812255859375,
13900,-5.4453887939453125,
14100,-4.84038543701171875,
14300,-5.7562103271484375,
14500,-7.28052520751953125,
14700,-5.79395294189453125,
14900,-6.393798828125,
15100,-6.29024505615234375,
15300,-6.43304443359375,
15500,-10.04244232177734375,
15700,-7.61646270751953125,
15900,-3.7671661376953125,
16100,-5.47974395751953125,
16300,-7.37186431884765625,
16500,-4.7855072021484375,
16700,-6.2942047119140625,
16900,-5.0269012451171875,
17100,-4.75135040283203125,
17300,-4.28857421875,
17500,-4.88196563720703125,
17700,-3.35369873046875,
17900,-5.59767913818359375,
18100,-5.0369873046875,
18300,-3.4662322998046875,
18500,1.56198883056640625,
18700,-2.19138336181640625,
18900,-5.18450164794921875,
19100,-4.4717864990234375,
19300,-4.45298004150390625,
19500,-4.434967041015625,
19700,-5.385101318359375,
19900,-3.21800994873046875,
20100,-3.8488006591796875,
20300,-5.2026519775390625,
20500,-5.5426177978515625,
20700,-3.1670989990234375,
20900,-4.9025421142578125,
21100,-4.76677703857421875,
21300,-1.46038055419921875,
21500,1.01042938232421875,
21700,1.79309844970703125,
21900,16.28832244873046875,
22100,21.776031494140625,
22300,14.4768218994140625,
22500,2.72301483154296875,
22700,3.3544464111328125,
22900,0.2795257568359375,
23100,-1.6359100341796875,
23300,-3.0964813232421875,
23500,-1.12665557861328125,
23700,-1.341583251953125,
23900,-0.1585540771484375,
24100,0.198516845703125,
24300,-1.6847076416015625,
24500,-1.6568756103515625,
24700,0.77547454833984375,
24900,0.3758087158203125,
25100,-0.3070068359375,
25300,0.2574615478515625,
25500,-2.331878662109375,
25700,-0.9991912841796875,
25900,-1.471954345703125,
26100,-0.81982421875,
26300,-0.26709747314453125,
26500,-1.2655029296875,
26700,0.461517333984375,
26900,-0.6558837890625,
27100,-0.11248016357421875,
27300,0.0357513427734375,
27500,1.12252044677734375,
27700,1.25768280029296875,
27900,2.383636474609375,
28100,1.70859527587890625,
28300,2.31512451171875,
28500,2.978302001953125,
28700,2.52014923095703125,
28900,1.8846893310546875,
29100,1.80583953857421875,
29300,3.1504058837890625,
29500,2.964691162109375,
29700,2.01080322265625,
29900,0.52428436279296875,
30100,-0.267425537109375,
30300,-1.03380584716796875,
30500,-0.0887603759765625,
30700,0.777435302734375,
30900,-0.5037841796875,
31100,-1.0883331298828125,
31300,-0.55936431884765625,
31500,-0.030670166015625,
31700,-1.890411376953125,
31900,-2.3498687744140625,
32100,-1.95601654052734375,
32300,-2.7713470458984375,
32500,-4.13178253173828125,
32700,-5.02515411376953125,
32900,-5.00635528564453125,
33100,-5.661895751953125,
33300,-5.1833343505859375,
33500,-4.74669647216796875,
33700,-4.07047271728515625,
33900,-4.2338409423828125,
34100,-2.80936431884765625,
34300,-2.99518585205078125,
34500,-5.36609649658203125,
34700,-4.72756195068359375,
34900,-4.03771209716796875,
35100,-5.7933502197265625,
35300,-5.8758697509765625,
35500,-5.29227447509765625,
35700,-5.09165191650390625,
35900,-4.212310791015625,
36100,-4.40767669677734375,
36300,-4.3325653076171875,
36500,-5.47637176513671875,
36700,-4.43946075439453125,
36900,-3.1417236328125,
37100,-0.58795928955078125,
37300,-0.29550933837890625,
37500,-6.06085205078125,
37700,-6.21320343017578125,
37900,-3.6583709716796875,
38100,-4.193023681640625,
38300,-3.62056732177734375,
38500,-2.65216064453125,
38700,-4.33228302001953125,
38900,-5.69016265869140625,
39100,-7.24689483642578125,
39300,-6.1092529296875,
39500,-5.39705657958984375,
39700,-3.960906982421875,
39900,-1.15765380859375,
40100,-0.73529815673828125,
40300,-4.18997955322265625,
40500,-3.628814697265625,
40700,-5.395538330078125,
40900,-3.662689208984375,
41100,-4.144287109375,
41300,-4.5914306640625,
41500,-5.411834716796875,
41700,-5.16436004638671875,
41900,-2.73935699462890625,
42100,-5.02806854248046875,
42300,-4.5020294189453125,
42500,-3.27237701416015625,
42700,-3.206451416015625,
42900,-2.180908203125,
43100,-2.6118927001953125,
43300,-3.1753997802734375,
