sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,514980000.000000,Hz
Freq Offset,0.000000,Hz
Start,30060000.000000,Hz
Stop,999900000.000000,Hz
Span,969840000.000000,Hz
Ref Level,102.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,120000.000000,Hz
VBW,1000000.000000,Hz
SWT,0.674000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,8083,
30060000,30.561431884765625,
30180000,32.43849945068359375,
30300000,33.511962890625,
30420000,34.9906768798828125,
30540000,38.4681243896484375,
30660000,39.900299072265625,
30780000,42.13067626953125,
30900000,47.064746856689453125,
31020000,48.966709136962890625,
31140000,51.527248382568359375,
31260000,47.41643524169921875,
31380000,45.286441802978515625,
31500000,43.88348388671875,
31620000,42.88091278076171875,
31740000,40.75428009033203125,
31860000,40.9530029296875,
31980000,40.92090606689453125,
32100000,39.3359222412109375,
32220000,38.10411834716796875,
32340000,36.87191009521484375,
32460000,36.57061004638671875,
32580000,35.83374786376953125,
32700000,35.54449462890625,
32820000,36.399444580078125,
32940000,36.00142669677734375,
33060000,38.2862548828125,
33180000,34.860748291015625,
33300000,43.0839385986328125,
33420000,40.35431671142578125,
33540000,42.54016876220703125,
33660000,39.55525970458984375,
33780000,39.35715484619140625,
33900000,35.009368896484375,
34020000,36.4017791748046875,
34140000,37.0549774169921875,
34260000,33.90894317626953125,
34380000,34.46367645263671875,
34500000,36.4256591796875,
34620000,32.99941253662109375,
34740000,41.45961761474609375,
34860000,37.38494110107421875,
34980000,38.90120697021484375,
35100000,35.74127197265625,
35220000,34.12676239013671875,
35340000,29.0307464599609375,
35460000,27.73626708984375,
35580000,32.3120880126953125,
35700000,40.01979827880859375,
35820000,32.226776123046875,
35940000,43.270381927490234375,
36060000,31.97954559326171875,
36180000,30.8334808349609375,
36300000,32.55011749267578125,
36420000,25.2826080322265625,
36540000,27.90752410888671875,
36660000,22.63045501708984375,
36780000,26.6316070556640625,
36900000,32.298370361328125,
37020000,24.75946044921875,
37140000,28.0110015869140625,
37260000,27.03475189208984375,
37380000,27.36811065673828125,
37500000,23.28493499755859375,
37620000,24.196380615234375,
37740000,26.33469390869140625,
37860000,23.08589935302734375,
37980000,23.4159698486328125,
38100000,22.1719818115234375,
38220000,21.06035614013671875,
38340000,21.00199127197265625,
38460000,21.8822021484375,
38580000,25.3335418701171875,
38700000,25.82085418701171875,
38820000,24.1869354248046875,
38940000,20.41046142578125,
39060000,23.59456634521484375,
39180000,25.61234283447265625,
39300000,20.75344085693359375,
39420000,22.9954986572265625,
39540000,20.30108642578125,
39660000,20.38314056396484375,
39780000,22.239593505859375,
39900000,21.036590576171875,
40020000,24.82569122314453125,
40140000,24.84375762939453125,
40260000,25.3717498779296875,
40380000,21.0364227294921875,
40500000,23.72133636474609375,
40620000,23.6871185302734375,
40740000,21.14470672607421875,
40860000,23.07372283935546875,
40980000,20.30522918701171875,
41100000,20.50390625,
41220000,20.65421295166015625,
41340000,20.247344970703125,
41460000,22.34698486328125,
41580000,24.60372161865234375,
41700000,24.75818634033203125,
41820000,22.31331634521484375,
41940000,31.3604278564453125,
42060000,24.02075958251953125,
42180000,20.86040496826171875,
42300000,20.59474945068359375,
42420000,20.85996246337890625,
42540000,21.62506866455078125,
42660000,20.83164215087890625,
42780000,20.7570343017578125,
42900000,22.74131011962890625,
43020000,22.76935577392578125,
43140000,21.9758453369140625,
43260000,21.1637420654296875,
43380000,22.0811767578125,
43500000,22.4929962158203125,
43620000,22.69618988037109375,
43740000,21.451080322265625,
43860000,21.2687530517578125,
43980000,22.506256103515625,
44100000,21.38971710205078125,
44220000,22.3316802978515625,
44340000,22.6981201171875,
44460000,21.72127532958984375,
44580000,22.00434112548828125,
44700000,21.45355224609375,
44820000,22.44286346435546875,
44940000,21.6686248779296875,
45060000,22.41101837158203125,
45180000,20.65959930419921875,
45300000,21.41506195068359375,
45420000,20.762939453125,
45540000,21.42519378662109375,
45660000,21.5829010009765625,
45780000,21.16298675537109375,
45900000,21.55861663818359375,
46020000,22.4303436279296875,
46140000,21.1128997802734375,
46260000,21.46027374267578125,
46380000,21.16846466064453125,
46500000,20.21771240234375,
46620000,20.82568359375,
46740000,20.77587890625,
46860000,20.8779144287109375,
46980000,20.82611846923828125,
47100000,19.83640289306640625,
47220000,20.3184814453125,
47340000,21.90935516357421875,
47460000,22.1817626953125,
47580000,21.076141357421875,
47700000,21.44596099853515625,
47820000,22.2961883544921875,
47940000,24.397735595703125,
48060000,21.13126373291015625,
48180000,20.0110931396484375,
48300000,20.9226531982421875,
48420000,19.6373748779296875,
48540000,20.2849578857421875,
48660000,21.80812835693359375,
48780000,20.86161041259765625,
48900000,22.3816680908203125,
49020000,21.63780975341796875,
49140000,21.119537353515625,
49260000,22.7125244140625,
49380000,22.23625946044921875,
49500000,21.56337738037109375,
49620000,21.66667938232421875,
49740000,20.78946685791015625,
49860000,22.45517730712890625,
49980000,22.27370452880859375,
50100000,22.294677734375,
50220000,22.22661590576171875,
