sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,3500000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1000500000.000000,Hz
Stop,5999500000.000000,Hz
Span,4999000000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,10000000.000000,Hz
SWT,0.650000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,5000,
1000500000,-3.6385955810546875,
1001500000,-3.42718505859375,
1002500000,-3.3689422607421875,
1003500000,-3.28046417236328125,
1004500000,-3.27483367919921875,
1005500000,-3.1999969482421875,
1006500000,-3.06128692626953125,
1007500000,-3.14892578125,
1008500000,-3.500091552734375,
1009500000,-3.790924072265625,
1010500000,-3.75859832763671875,
1011500000,-3.87146759033203125,
1012500000,-4.24069976806640625,
1013500000,-4.14542388916015625,
1014500000,-4.023773193359375,
1015500000,-3.96219635009765625,
1016500000,-3.6759796142578125,
1017500000,-3.50103759765625,
1018500000,-3.250152587890625,
1019500000,-3.19234466552734375,
1020500000,-3.2260894775390625,
1021500000,-3.27556610107421875,
1022500000,-3.5005340576171875,
1023500000,-3.29888916015625,
1024500000,-3.42507171630859375,
1025500000,-3.67072296142578125,
1026500000,-3.82352447509765625,
1027500000,-4.02593231201171875,
1028500000,-4.0763397216796875,
1029500000,-3.89011383056640625,
1030500000,-3.84711456298828125,
1031500000,-3.81719970703125,
1032500000,-3.7064208984375,
1033500000,-3.6349945068359375,
1034500000,-3.12677001953125,
1035500000,-3.1627960205078125,
1036500000,-3.14284515380859375,
1037500000,-2.916259765625,
1038500000,-3.102142333984375,
1039500000,-3.1649322509765625,
1040500000,-3.204071044921875,
1041500000,-3.5459136962890625,
1042500000,-3.59821319580078125,
1043500000,-3.58837890625,
1044500000,-3.9564056396484375,
1045500000,-3.81076812744140625,
1046500000,-3.6080169677734375,
1047500000,-3.509674072265625,
1048500000,-3.376068115234375,
1049500000,-3.17888641357421875,
1050500000,-2.97711181640625,
1051500000,-2.898040771484375,
1052500000,-2.9325714111328125,
1053500000,-2.76342010498046875,
1054500000,-3.03754425048828125,
1055500000,-2.98554229736328125,
1056500000,-3.14472198486328125,
1057500000,-3.043212890625,
1058500000,-3.11545562744140625,
1059500000,-3.41701507568359375,
1060500000,-3.59947967529296875,
1061500000,-3.55446624755859375,
1062500000,-3.15366363525390625,
1063500000,-3.0093231201171875,
1064500000,-2.8065338134765625,
1065500000,-2.60242462158203125,
1066500000,-2.29405975341796875,
1067500000,-2.373870849609375,
1068500000,-1.8898773193359375,
1069500000,-1.99785614013671875,
1070500000,-2.16949462890625,
1071500000,-2.12458038330078125,
1072500000,-2.10839080810546875,
1073500000,-1.9571533203125,
1074500000,-2.27178955078125,
1075500000,-2.36579132080078125,
1076500000,-2.705108642578125,
1077500000,-2.83740997314453125,
1078500000,-2.8330078125,
1079500000,-2.6252593994140625,
1080500000,-2.60622406005859375,
1081500000,-2.732574462890625,
1082500000,-2.676666259765625,
1083500000,-2.2347412109375,
1084500000,-2.38317108154296875,
1085500000,-2.35205078125,
1086500000,-2.3344573974609375,
1087500000,-2.5409698486328125,
1088500000,-2.745574951171875,
1089500000,-2.6687774658203125,
1090500000,-2.90740203857421875,
1091500000,-2.969146728515625,
1092500000,-2.9457244873046875,
1093500000,-2.9236602783203125,
1094500000,-3.043121337890625,
1095500000,-2.58568572998046875,
1096500000,-2.21245574951171875,
1097500000,-1.83214569091796875,
1098500000,-1.3594512939453125,
1099500000,-1.22238922119140625,
1100500000,-1.59282684326171875,
1101500000,-1.8098602294921875,
1102500000,-1.77030181884765625,
1103500000,-1.9205780029296875,
1104500000,-2.03031158447265625,
1105500000,-1.97385406494140625,
1106500000,-2.42324066162109375,
1107500000,-2.64841461181640625,
1108500000,-2.86382293701171875,
1109500000,-2.70287322998046875,
1110500000,-2.7579193115234375,
1111500000,-2.60036468505859375,
1112500000,-2.5623779296875,
1113500000,-2.44545745849609375,
1114500000,-2.206756591796875,
1115500000,-2.26450347900390625,
1116500000,-1.82115936279296875,
1117500000,-1.83942413330078125,
1118500000,-1.9093170166015625,
1119500000,-2.17469024658203125,
1120500000,-2.151947021484375,
1121500000,-2.50034332275390625,
1122500000,-2.34557342529296875,
1123500000,-2.39952850341796875,
1124500000,-2.3744659423828125,
1125500000,-2.4758758544921875,
1126500000,-2.4049224853515625,
1127500000,-2.067535400390625,
1128500000,-1.873992919921875,
1129500000,-1.5267181396484375,
1130500000,-1.27715301513671875,
1131500000,-0.85359954833984375,
1132500000,-0.0149993896484375,
1133500000,-0.9687957763671875,
1134500000,-0.982025146484375,
1135500000,-0.87085723876953125,
1136500000,-0.89569091796875,
1137500000,-0.87911224365234375,
1138500000,-0.63381195068359375,
1139500000,-0.84273529052734375,
1140500000,-0.5185089111328125,
1141500000,-0.554229736328125,
1142500000,-0.42859649658203125,
1143500000,0.00218963623046875,
1144500000,0.45314788818359375,
1145500000,0.6940765380859375,
1146500000,1.09332275390625,
1147500000,2.3520050048828125,
