sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,89.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,99.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,13.25749969482421875,
9300,13.15008544921875,
9500,11.708831787109375,
9700,15.23017120361328125,
9900,23.4849090576171875,
10100,19.924591064453125,
10300,19.46608734130859375,
10500,16.45539093017578125,
10700,11.7080841064453125,
10900,9.35233306884765625,
11100,11.98799896240234375,
11300,11.28083038330078125,
11500,10.9086151123046875,
11700,10.3882293701171875,
11900,10.06679534912109375,
12100,14.223480224609375,
12300,17.06111907958984375,
12500,17.64395904541015625,
12700,20.5841522216796875,
12900,23.19205474853515625,
13100,28.89096832275390625,
13300,32.1302032470703125,
13500,24.957000732421875,
13700,20.8487701416015625,
13900,15.70211029052734375,
14100,16.08045196533203125,
14300,15.02845001220703125,
14500,16.27315521240234375,
14700,19.01258087158203125,
14900,17.7602386474609375,
15100,16.16193389892578125,
15300,17.4488983154296875,
15500,14.42842864990234375,
15700,11.9867095947265625,
15900,11.473846435546875,
16100,11.0024871826171875,
16300,11.99466705322265625,
16500,26.0591278076171875,
16700,18.5869903564453125,
16900,11.86780548095703125,
17100,13.248992919921875,
17300,12.722076416015625,
17500,13.70856475830078125,
17700,15.10973358154296875,
17900,14.5409393310546875,
18100,16.651031494140625,
18300,17.77141571044921875,
18500,28.56882476806640625,
18700,21.95038604736328125,
18900,17.53504180908203125,
19100,16.1351470947265625,
19300,19.50482177734375,
19500,19.1501312255859375,
19700,22.16827392578125,
19900,27.64170074462890625,
20100,28.02501678466796875,
20300,28.17284393310546875,
20500,28.20925140380859375,
20700,30.69065093994140625,
20900,29.1446380615234375,
21100,33.5453338623046875,
21300,32.232269287109375,
21500,34.868988037109375,
21700,44.9112091064453125,
21900,63.921321868896484375,
22100,67.87888336181640625,
22300,54.728832244873046875,
22500,41.31256103515625,
22700,39.4603118896484375,
22900,36.49738311767578125,
23100,39.77234649658203125,
23300,33.40338134765625,
23500,33.58634185791015625,
23700,32.571441650390625,
23900,28.80560302734375,
24100,26.01934051513671875,
24300,26.57730865478515625,
24500,29.72739410400390625,
24700,29.38599395751953125,
24900,28.00931549072265625,
25100,27.0363616943359375,
25300,26.16326904296875,
25500,28.70476531982421875,
25700,25.42169189453125,
25900,24.18003082275390625,
26100,24.77754974365234375,
26300,24.99805450439453125,
26500,31.67667388916015625,
26700,31.68714141845703125,
26900,23.58295440673828125,
27100,24.7659149169921875,
27300,24.4237823486328125,
27500,25.01459503173828125,
27700,26.877593994140625,
27900,26.46587371826171875,
28100,26.123992919921875,
28300,26.490142822265625,
28500,25.85625457763671875,
28700,27.0431976318359375,
28900,27.76287841796875,
29100,27.0324859619140625,
29300,27.3389892578125,
29500,25.39713287353515625,
29700,25.0938568115234375,
29900,27.60711669921875,
30100,22.6657867431640625,
30300,20.79730987548828125,
30500,20.301544189453125,
30700,18.68500518798828125,
30900,19.2382049560546875,
31100,18.38545989990234375,
31300,17.16280364990234375,
31500,15.11748504638671875,
31700,14.80023956298828125,
31900,16.29146575927734375,
32100,16.69353485107421875,
32300,14.82666015625,
32500,12.864654541015625,
32700,13.08945465087890625,
32900,12.7598724365234375,
33100,25.67626190185546875,
33300,24.19602203369140625,
33500,12.9423065185546875,
33700,14.1478424072265625,
33900,14.07187652587890625,
34100,12.95890045166015625,
34300,14.64190673828125,
34500,12.2054901123046875,
34700,11.91573333740234375,
34900,13.01049041748046875,
35100,12.6622314453125,
35300,11.28324127197265625,
35500,11.653228759765625,
35700,11.7272796630859375,
35900,13.6544647216796875,
36100,12.34307861328125,
36300,15.14608001708984375,
36500,26.3493499755859375,
36700,16.7642974853515625,
36900,15.89373779296875,
37100,21.918121337890625,
37300,20.12146759033203125,
37500,12.12911224365234375,
37700,10.65003204345703125,
37900,10.88068389892578125,
38100,8.99590301513671875,
38300,10.27056121826171875,
38500,9.72650909423828125,
38700,11.097869873046875,
38900,12.881195068359375,
39100,11.89702606201171875,
39300,11.11156463623046875,
39500,11.78043365478515625,
39700,14.18068695068359375,
39900,26.82723236083984375,
40100,27.5498046875,
40300,10.826416015625,
40500,10.37238311767578125,
40700,9.44020843505859375,
40900,12.43109893798828125,
41100,10.14307403564453125,
41300,10.80948638916015625,
41500,12.294281005859375,
41700,11.53549957275390625,
41900,14.79106903076171875,
42100,16.30504608154296875,
42300,15.44610595703125,
42500,15.10980224609375,
42700,16.75408935546875,
42900,17.45610809326171875,
43100,20.92047882080078125,
43300,22.4902801513671875,
43500,22.017059326171875,
43700,28.69889068603515625,
43900,32.4031982421875,
44100,44.50377655029296875,
44300,48.306514739990234375,
44500,38.74846649169921875,
44700,29.1338043212890625,
44900,25.567962646484375,
45100,18.94536590576171875,
45300,17.619354248046875,
45500,16.38864898681640625,
