sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,3500000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1000500000.000000,Hz
Stop,5999500000.000000,Hz
Span,4999000000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,10000000.000000,Hz
SWT,0.650000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,5000,
1000500000,-1.60135650634765625,
1001500000,-1.20897674560546875,
1002500000,-1.01312255859375,
1003500000,-1.08176422119140625,
1004500000,-1.156951904296875,
1005500000,-1.20485687255859375,
1006500000,-1.1451873779296875,
1007500000,-1.574554443359375,
1008500000,-1.671478271484375,
1009500000,-1.7131805419921875,
1010500000,-1.6255645751953125,
1011500000,-1.38526153564453125,
1012500000,-1.32892608642578125,
1013500000,-1.342315673828125,
1014500000,-1.2794342041015625,
1015500000,-1.59131622314453125,
1016500000,-1.369476318359375,
1017500000,-1.30767059326171875,
1018500000,-1.1700897216796875,
1019500000,-1.2513275146484375,
1020500000,-1.26688385009765625,
1021500000,-1.1749114990234375,
1022500000,-1.0031585693359375,
1023500000,-1.27043914794921875,
1024500000,-1.39496612548828125,
1025500000,-1.73681640625,
1026500000,-1.82656097412109375,
1027500000,-1.7919921875,
1028500000,-1.721649169921875,
1029500000,-1.7644500732421875,
1030500000,-1.18724822998046875,
1031500000,-1.21048736572265625,
1032500000,-1.132843017578125,
1033500000,-1.1616668701171875,
1034500000,-1.16728973388671875,
1035500000,-0.9981536865234375,
1036500000,-1.024169921875,
1037500000,-1.387908935546875,
1038500000,-1.23366546630859375,
1039500000,-1.66094207763671875,
1040500000,-1.92864990234375,
1041500000,-2.1413421630859375,
1042500000,-2.602630615234375,
1043500000,-2.7229461669921875,
1044500000,-2.81072235107421875,
1045500000,-2.59449005126953125,
1046500000,-2.49462890625,
1047500000,-2.54364776611328125,
1048500000,-2.48513031005859375,
1049500000,-2.389068603515625,
1050500000,-2.4969940185546875,
1051500000,-2.3624114990234375,
1052500000,-2.2649078369140625,
1053500000,-2.57425689697265625,
1054500000,-2.49297332763671875,
1055500000,-2.7153472900390625,
1056500000,-2.8840789794921875,
1057500000,-2.91546630859375,
1058500000,-3.49288177490234375,
1059500000,-3.3165283203125,
1060500000,-3.20428466796875,
1061500000,-3.18244171142578125,
1062500000,-2.9983978271484375,
1063500000,-2.61206817626953125,
1064500000,-2.1581268310546875,
1065500000,-1.91519927978515625,
1066500000,-1.555877685546875,
1067500000,-0.654693603515625,
1068500000,-0.48297119140625,
1069500000,0.12619781494140625,
1070500000,0.22457122802734375,
1071500000,0.31365203857421875,
1072500000,0.06478118896484375,
1073500000,0.09035491943359375,
1074500000,0.21486663818359375,
1075500000,0.5226287841796875,
1076500000,0.63137054443359375,
1077500000,0.80377960205078125,
1078500000,0.96637725830078125,
1079500000,1.15671539306640625,
1080500000,1.5453948974609375,
1081500000,1.897857666015625,
1082500000,2.0442962646484375,
1083500000,2.69857025146484375,
1084500000,3.280670166015625,
1085500000,3.59664154052734375,
1086500000,3.77307891845703125,
1087500000,4.033599853515625,
1088500000,4.49289703369140625,
1089500000,4.943603515625,
1090500000,5.25505828857421875,
1091500000,5.47739410400390625,
1092500000,5.83940887451171875,
1093500000,6.15212249755859375,
1094500000,6.9823760986328125,
1095500000,13.2482147216796875,
1096500000,14.9012298583984375,
1097500000,15.271240234375,
1098500000,15.455810546875,
1099500000,14.282257080078125,
1100500000,8.62808990478515625,
1101500000,8.102142333984375,
1102500000,8.22199249267578125,
1103500000,7.84880828857421875,
1104500000,7.36609649658203125,
1105500000,7.5224609375,
1106500000,7.6121826171875,
1107500000,7.0609283447265625,
1108500000,6.924346923828125,
1109500000,7.19135284423828125,
1110500000,7.37683868408203125,
1111500000,8.1258392333984375,
1112500000,8.8238372802734375,
1113500000,9.00214385986328125,
1114500000,9.5348663330078125,
1115500000,9.52506256103515625,
1116500000,10.32143402099609375,
1117500000,10.36324310302734375,
1118500000,10.69443511962890625,
1119500000,10.945892333984375,
1120500000,11.23180389404296875,
1121500000,11.28229522705078125,
1122500000,11.45568084716796875,
1123500000,11.67110443115234375,
1124500000,12.14300537109375,
1125500000,12.3529205322265625,
1126500000,12.56549072265625,
1127500000,13.027374267578125,
1128500000,13.1503753662109375,
1129500000,13.0940399169921875,
1130500000,13.09209442138671875,
1131500000,12.58632659912109375,
1132500000,11.83290863037109375,
1133500000,11.47061920166015625,
1134500000,11.0110015869140625,
1135500000,10.6811676025390625,
1136500000,10.92285919189453125,
1137500000,10.92035675048828125,
1138500000,10.7187652587890625,
1139500000,10.44519805908203125,
1140500000,10.0037994384765625,
1141500000,9.59600067138671875,
1142500000,9.11177825927734375,
1143500000,9.00164794921875,
1144500000,8.84110260009765625,
1145500000,8.6060943603515625,
1146500000,8.25637054443359375,
1147500000,8.141571044921875,
1148500000,7.8529205322265625,
1149500000,7.872802734375,
1150500000,7.86954498291015625,
1151500000,8.07547760009765625,
1152500000,7.77368927001953125,
