sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,102.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,3317,
154500,42.8768463134765625,
163500,40.639984130859375,
172500,41.1726531982421875,
181500,37.07076263427734375,
190500,40.4134521484375,
199500,42.27016448974609375,
208500,41.18817901611328125,
217500,35.99056243896484375,
226500,36.59287261962890625,
235500,38.71681976318359375,
244500,39.65755462646484375,
253500,40.468505859375,
262500,36.03260040283203125,
271500,40.0813140869140625,
280500,39.44482421875,
289500,43.44213104248046875,
298500,37.07205963134765625,
307500,36.46893310546875,
316500,41.8345794677734375,
325500,37.6154327392578125,
334500,34.83232879638671875,
343500,34.1731109619140625,
352500,33.85977935791015625,
361500,33.210052490234375,
370500,33.38567352294921875,
379500,35.2954254150390625,
388500,32.16295623779296875,
397500,32.79622650146484375,
406500,33.6613311767578125,
415500,33.499298095703125,
424500,35.14675140380859375,
433500,32.240386962890625,
442500,32.93630218505859375,
451500,33.95121002197265625,
460500,34.936981201171875,
469500,33.8505096435546875,
478500,34.8817901611328125,
487500,36.39751434326171875,
496500,34.217071533203125,
505500,33.781494140625,
514500,35.11234283447265625,
523500,36.1580047607421875,
532500,37.45949554443359375,
541500,33.80748748779296875,
550500,34.357391357421875,
559500,36.20526123046875,
568500,40.53299713134765625,
577500,35.132293701171875,
586500,36.42139434814453125,
595500,42.8709564208984375,
604500,40.6162872314453125,
613500,41.306304931640625,
622500,36.9101104736328125,
631500,42.59420013427734375,
640500,44.291927337646484375,
649500,44.61377716064453125,
658500,39.40045928955078125,
667500,40.7346343994140625,
676500,48.636837005615234375,
685500,44.100307464599609375,
694500,44.120006561279296875,
703500,43.0687103271484375,
712500,49.848388671875,
721500,49.1091766357421875,
730500,48.444484710693359375,
739500,44.77020263671875,
748500,47.02289581298828125,
757500,54.041164398193359375,
766500,51.6034698486328125,
775500,49.440654754638671875,
784500,48.7037811279296875,
793500,55.4354248046875,
802500,53.8105010986328125,
811500,56.938385009765625,
820500,51.951992034912109375,
829500,52.581390380859375,
838500,59.027614593505859375,
847500,61.54456329345703125,
856500,57.382289886474609375,
865500,57.221576690673828125,
874500,61.6589813232421875,
883500,63.2845306396484375,
892500,67.45263671875,
901500,63.12940216064453125,
910500,59.649761199951171875,
919500,62.41925048828125,
928500,71.04245758056640625,
937500,65.1768951416015625,
946500,64.81548309326171875,
955500,65.185760498046875,
964500,66.3644561767578125,
973500,68.9361724853515625,
982500,61.872486114501953125,
991500,62.51308441162109375,
1000500,64.857696533203125,
1009500,65.74987030029296875,
1018500,59.356899261474609375,
1027500,58.5955963134765625,
1036500,65.298370361328125,
1045500,59.280948638916015625,
1054500,59.43488311767578125,
1063500,56.58588409423828125,
1072500,60.3296356201171875,
1081500,60.570529937744140625,
1090500,54.08225250244140625,
1099500,52.321247100830078125,
1108500,53.31789398193359375,
1117500,58.57503509521484375,
1126500,49.164379119873046875,
1135500,50.17034912109375,
1144500,52.725185394287109375,
1153500,51.38245391845703125,
1162500,49.93801116943359375,
1171500,43.898193359375,
1180500,44.985992431640625,
1189500,44.720455169677734375,
1198500,48.742706298828125,
1207500,40.59647369384765625,
1216500,38.45226287841796875,
1225500,44.90471649169921875,
1234500,46.228832244873046875,
1243500,41.50630950927734375,
1252500,40.66733551025390625,
1261500,39.1626739501953125,
1270500,36.4937591552734375,
1279500,39.41706085205078125,
1288500,35.84723663330078125,
1297500,33.41046142578125,
1306500,33.66373443603515625,
1315500,42.2625885009765625,
1324500,39.12918853759765625,
1333500,30.1060333251953125,
1342500,31.04620361328125,
1351500,28.5340118408203125,
1360500,30.52642822265625,
1369500,29.55959320068359375,
1378500,28.488494873046875,
1387500,28.92551422119140625,
1396500,32.68145751953125,
1405500,39.15033721923828125,
1414500,35.44775390625,
1423500,36.59416961669921875,
1432500,34.23023223876953125,
1441500,33.4748687744140625,
1450500,33.88016510009765625,
1459500,30.8365325927734375,
1468500,30.65506744384765625,
1477500,36.82936859130859375,
1486500,30.7252349853515625,
1495500,35.15297698974609375,
1504500,35.99139404296875,
1513500,37.0160369873046875,
1522500,36.78908538818359375,
1531500,36.38472747802734375,
1540500,39.287841796875,
1549500,38.72492218017578125,
1558500,40.97015380859375,
1567500,41.59912109375,
1576500,41.03281402587890625,
1585500,41.90760040283203125,
1594500,43.346233367919921875,
1603500,43.5601348876953125,
1612500,43.64987945556640625,
1621500,46.44080352783203125,
1630500,45.77866363525390625,
1639500,48.85455322265625,
1648500,46.12717437744140625,
1657500,45.890430450439453125,
1666500,48.383769989013671875,
1675500,50.923309326171875,
1684500,47.58823394775390625,
1693500,48.70174407958984375,
1702500,44.707836151123046875,
1711500,47.19414520263671875,
1720500,52.491546630859375,
1729500,49.177669525146484375,
