sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,514980000.000000,Hz
Freq Offset,0.000000,Hz
Start,30060000.000000,Hz
Stop,999900000.000000,Hz
Span,969840000.000000,Hz
Ref Level,102.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,120000.000000,Hz
VBW,1000000.000000,Hz
SWT,0.674000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,8083,
30060000,35.81499481201171875,
30180000,37.7396240234375,
30300000,44.4632110595703125,
30420000,41.742401123046875,
30540000,39.9758148193359375,
30660000,41.271759033203125,
30780000,41.66571044921875,
30900000,42.27718353271484375,
31020000,42.96891021728515625,
31140000,40.29632568359375,
31260000,43.820743560791015625,
31380000,43.97705078125,
31500000,42.05291748046875,
31620000,42.27346038818359375,
31740000,45.427490234375,
31860000,43.05712127685546875,
31980000,42.86992645263671875,
32100000,42.20391845703125,
32220000,42.9425048828125,
32340000,43.51873016357421875,
32460000,42.946807861328125,
32580000,41.13285064697265625,
32700000,41.743560791015625,
32820000,44.056995391845703125,
32940000,41.62096405029296875,
33060000,40.27983856201171875,
33180000,48.5646514892578125,
33300000,41.48059844970703125,
33420000,40.0566558837890625,
33540000,43.9911956787109375,
33660000,40.10144805908203125,
33780000,44.47252655029296875,
33900000,40.84778594970703125,
34020000,38.60713958740234375,
34140000,39.58882904052734375,
34260000,40.951171875,
34380000,35.0984954833984375,
34500000,36.5818634033203125,
34620000,41.81111907958984375,
34740000,40.1435546875,
34860000,30.008544921875,
34980000,36.264434814453125,
35100000,27.6717376708984375,
35220000,36.02050018310546875,
35340000,34.45064544677734375,
35460000,25.48151397705078125,
35580000,29.59033203125,
35700000,37.83495330810546875,
35820000,31.4017333984375,
35940000,43.037433624267578125,
36060000,32.32967376708984375,
36180000,30.61327362060546875,
36300000,30.40935516357421875,
36420000,28.3983306884765625,
36540000,28.7163238525390625,
36660000,28.55081939697265625,
36780000,25.76499176025390625,
36900000,32.9937896728515625,
37020000,22.44211578369140625,
37140000,21.59212493896484375,
37260000,24.81206512451171875,
37380000,26.3185272216796875,
37500000,24.29993438720703125,
37620000,26.1751861572265625,
37740000,21.578369140625,
37860000,24.10480499267578125,
37980000,24.37174224853515625,
38100000,23.31060791015625,
38220000,21.3241424560546875,
38340000,25.021881103515625,
38460000,20.7083740234375,
38580000,21.11255645751953125,
38700000,23.21796417236328125,
38820000,26.4205474853515625,
38940000,22.79962921142578125,
39060000,25.65184783935546875,
39180000,23.7644805908203125,
39300000,24.3977508544921875,
39420000,21.90515899658203125,
39540000,23.3757171630859375,
39660000,22.3006134033203125,
39780000,23.95343780517578125,
39900000,21.53441619873046875,
40020000,21.76387786865234375,
40140000,24.269622802734375,
40260000,26.60793304443359375,
40380000,23.733123779296875,
40500000,23.74376678466796875,
40620000,25.06018829345703125,
40740000,21.31903076171875,
40860000,23.62206268310546875,
40980000,23.051025390625,
41100000,20.65509033203125,
41220000,20.9751129150390625,
41340000,21.3302001953125,
41460000,20.86199951171875,
41580000,21.438079833984375,
41700000,24.67479705810546875,
41820000,22.01409912109375,
41940000,30.1268463134765625,
42060000,22.37676239013671875,
42180000,21.8814239501953125,
42300000,22.18326568603515625,
42420000,21.01177215576171875,
42540000,20.49503326416015625,
42660000,21.59787750244140625,
42780000,20.623504638671875,
42900000,20.8201751708984375,
43020000,22.26895904541015625,
43140000,22.25011444091796875,
43260000,22.24971771240234375,
43380000,23.80364990234375,
43500000,22.62725067138671875,
43620000,23.60771942138671875,
43740000,24.87905120849609375,
43860000,23.582794189453125,
43980000,23.410247802734375,
44100000,24.101318359375,
44220000,23.59161376953125,
44340000,24.5815277099609375,
44460000,27.5156402587890625,
44580000,27.26776123046875,
44700000,27.03037261962890625,
44820000,27.6238555908203125,
44940000,27.3116912841796875,
45060000,26.98050689697265625,
45180000,27.93036651611328125,
45300000,27.77022552490234375,
45420000,26.29986572265625,
45540000,28.7357025146484375,
45660000,26.3786163330078125,
45780000,25.85701751708984375,
45900000,28.20458984375,
46020000,29.67830657958984375,
46140000,28.24062347412109375,
46260000,27.49091339111328125,
46380000,32.00194549560546875,
46500000,26.09165191650390625,
46620000,28.0438232421875,
46740000,27.8812408447265625,
46860000,24.69500732421875,
46980000,27.125518798828125,
47100000,25.1978912353515625,
47220000,24.03121185302734375,
47340000,23.9704132080078125,
47460000,25.2921142578125,
47580000,23.32120513916015625,
47700000,24.53726959228515625,
47820000,23.89058685302734375,
47940000,25.46700286865234375,
48060000,23.8919677734375,
48180000,23.611480712890625,
48300000,21.7778472900390625,
48420000,23.2705230712890625,
48540000,21.969573974609375,
48660000,21.7212066650390625,
48780000,21.26628875732421875,
48900000,22.21637725830078125,
49020000,22.44954681396484375,
49140000,22.46105194091796875,
49260000,21.34130859375,
49380000,21.0715179443359375,
49500000,20.7321014404296875,
49620000,21.0258941650390625,
49740000,20.09995269775390625,
49860000,20.59735870361328125,
49980000,20.68402099609375,
50100000,20.93888092041015625,
50220000,21.6389923095703125,
50340000,21.516204833984375,
