sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,90.800000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,3317,
154500,7.15148162841796875,
163500,11.44518280029296875,
172500,5.533172607421875,
181500,3.32126617431640625,
190500,5.3672637939453125,
199500,5.81353759765625,
208500,3.61664581298828125,
217500,2.506927490234375,
226500,5.296417236328125,
235500,6.644744873046875,
244500,5.2823486328125,
253500,3.07282257080078125,
262500,4.0160675048828125,
271500,3.70484161376953125,
280500,2.86336517333984375,
289500,5.2851104736328125,
298500,3.9487457275390625,
307500,4.203887939453125,
316500,7.9622802734375,
325500,10.86742401123046875,
334500,4.36371612548828125,
343500,1.4278106689453125,
352500,0.5437164306640625,
361500,2.94384002685546875,
370500,2.6946868896484375,
379500,0.43206024169921875,
388500,2.3302764892578125,
397500,3.29926300048828125,
406500,1.16481781005859375,
415500,1.85009002685546875,
424500,0.49529266357421875,
433500,0.0693511962890625,
442500,-0.85569000244140625,
451500,0.94931793212890625,
460500,0.25563812255859375,
469500,1.3778533935546875,
478500,3.19963836669921875,
487500,5.8894500732421875,
496500,3.761688232421875,
505500,1.495025634765625,
514500,1.2123565673828125,
523500,0.51122283935546875,
532500,2.2114410400390625,
541500,1.57190704345703125,
550500,-1.23429107666015625,
559500,-0.28682708740234375,
568500,-2.41872406005859375,
577500,1.12957763671875,
586500,0.8399810791015625,
595500,-0.96030426025390625,
604500,-2.38945770263671875,
613500,-0.9104461669921875,
622500,-0.99971771240234375,
631500,-0.65145111083984375,
640500,2.4161529541015625,
649500,3.86864471435546875,
658500,3.9952850341796875,
667500,1.0639495849609375,
676500,-0.321990966796875,
685500,1.039031982421875,
694500,0.8050994873046875,
703500,-1.01230621337890625,
712500,-0.7155914306640625,
721500,-1.48787689208984375,
730500,-2.67743682861328125,
739500,0.30771636962890625,
748500,-1.76251220703125,
757500,-2.4895172119140625,
766500,-2.41699981689453125,
775500,-1.31429290771484375,
784500,-1.64275360107421875,
793500,-3.4111175537109375,
802500,-1.20113372802734375,
811500,-0.0643310546875,
820500,1.08185577392578125,
829500,-1.13849639892578125,
838500,-3.8851165771484375,
847500,-1.772186279296875,
856500,-1.34322357177734375,
865500,-3.6749267578125,
874500,-0.29779815673828125,
883500,-1.91753387451171875,
892500,-0.8272705078125,
901500,-3.4939727783203125,
910500,-3.33887481689453125,
919500,-4.1715240478515625,
928500,-2.81524658203125,
937500,-2.22170257568359375,
946500,-2.47653961181640625,
955500,-2.44922637939453125,
964500,-0.7613525390625,
973500,-1.82559967041015625,
982500,-0.4268341064453125,
991500,-0.9336090087890625,
1000500,-3.48094940185546875,
1009500,-2.60803985595703125,
1018500,-1.215087890625,
1027500,-2.601226806640625,
1036500,-3.004608154296875,
1045500,-3.543060302734375,
1054500,-4.87390899658203125,
1063500,-3.39211273193359375,
1072500,-2.53786468505859375,
1081500,-2.0903778076171875,
1090500,-4.72922515869140625,
1099500,-6.25518035888671875,
1108500,-2.9627532958984375,
1117500,-3.68039703369140625,
1126500,-1.220977783203125,
1135500,-5.63834381103515625,
1144500,-2.5512847900390625,
1153500,-1.43544769287109375,
1162500,-4.2173919677734375,
1171500,-3.07624053955078125,
1180500,6.48516845703125,
1189500,-3.0741729736328125,
1198500,-3.0968017578125,
1207500,-2.57308197021484375,
1216500,-3.4618377685546875,
1225500,-2.9644775390625,
1234500,-3.59380340576171875,
1243500,-3.5377044677734375,
1252500,-2.73525238037109375,
1261500,-2.64795684814453125,
1270500,-3.4692535400390625,
1279500,-2.34661102294921875,
1288500,-2.1699676513671875,
1297500,-3.62628936767578125,
1306500,-1.88076019287109375,
1315500,-1.85068511962890625,
1324500,-2.02384185791015625,
1333500,-6.47554779052734375,
1342500,-6.29158782958984375,
1351500,-4.9577178955078125,
1360500,-5.4488525390625,
1369500,-5.03050994873046875,
1378500,-2.70598602294921875,
1387500,-4.0312042236328125,
1396500,-6.68083953857421875,
1405500,-4.66339111328125,
1414500,-1.0520172119140625,
1423500,-2.07454681396484375,
1432500,-3.09552001953125,
1441500,13.70664215087890625,
1450500,7.46152496337890625,
1459500,-4.91541290283203125,
1468500,-3.64455413818359375,
1477500,-2.41339874267578125,
1486500,-2.7870941162109375,
1495500,-3.9401702880859375,
1504500,-5.20267486572265625,
1513500,-4.30780792236328125,
1522500,-7.42388916015625,
1531500,-6.25406646728515625,
1540500,-4.422027587890625,
1549500,-3.83493804931640625,
1558500,-6.1533660888671875,
1567500,-3.43630218505859375,
1576500,-4.463165283203125,
1585500,-3.15216064453125,
1594500,-3.75209808349609375,
1603500,-3.6168212890625,
1612500,-2.03533172607421875,
1621500,-2.56046295166015625,
1630500,-5.7369232177734375,
1639500,-3.92528533935546875,
1648500,-3.376434326171875,
