sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,88.640000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,99.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,-9.912384033203125,
9300,-6.23724365234375,
9500,-5.8504791259765625,
9700,-6.03446197509765625,
9900,-6.06844329833984375,
10100,-5.9600067138671875,
10300,-6.9509735107421875,
10500,-7.23748016357421875,
10700,-6.34088897705078125,
10900,-8.3841094970703125,
11100,-7.31817626953125,
11300,-6.19664764404296875,
11500,-5.21038055419921875,
11700,-4.80959320068359375,
11900,-6.15361785888671875,
12100,-7.86702728271484375,
12300,-8.60633087158203125,
12500,-6.94976043701171875,
12700,-7.95821380615234375,
12900,-7.9789276123046875,
13100,-7.26866912841796875,
13300,-9.69167327880859375,
13500,-6.327606201171875,
13700,-6.90699005126953125,
13900,-5.367706298828125,
14100,-5.018707275390625,
14300,-8.71695709228515625,
14500,-6.58019256591796875,
14700,-6.48070526123046875,
14900,-7.0832061767578125,
15100,-6.70722198486328125,
15300,-5.230499267578125,
15500,-5.70488739013671875,
15700,-5.07373809814453125,
15900,-7.353729248046875,
16100,-6.74188995361328125,
16300,-4.8863067626953125,
16500,-5.10602569580078125,
16700,-5.6947174072265625,
16900,-7.206573486328125,
17100,-5.9302978515625,
17300,-5.6041259765625,
17500,-5.608978271484375,
17700,-4.00345611572265625,
17900,-5.68430328369140625,
18100,-4.7628021240234375,
18300,-6.154083251953125,
18500,1.23053741455078125,
18700,-2.90352630615234375,
18900,-5.36351776123046875,
19100,-6.23105621337890625,
19300,-4.65386962890625,
19500,-4.83049774169921875,
19700,-5.438323974609375,
19900,-4.44228363037109375,
20100,-5.03159332275390625,
20300,-4.4649505615234375,
20500,-2.8964080810546875,
20700,-3.256591796875,
20900,-2.23743438720703125,
21100,-1.9085540771484375,
21300,-0.89589691162109375,
21500,1.52193450927734375,
21700,3.2150421142578125,
21900,15.38259124755859375,
22100,17.3957672119140625,
22300,9.3104705810546875,
22500,3.7436676025390625,
22700,4.6181793212890625,
22900,1.503662109375,
23100,0.764373779296875,
23300,-0.68902587890625,
23500,0.18084716796875,
23700,0.50225830078125,
23900,-0.32903289794921875,
24100,-1.59899139404296875,
24300,-1.970458984375,
24500,-0.76943206787109375,
24700,-1.6684112548828125,
24900,0.48949432373046875,
25100,-1.07281494140625,
25300,-1.166717529296875,
25500,0.63495635986328125,
25700,0.11112213134765625,
25900,-0.39699554443359375,
26100,-0.352813720703125,
26300,1.33684539794921875,
26500,2.1219024658203125,
26700,1.62137603759765625,
26900,2.08216094970703125,
27100,1.9107666015625,
27300,3.4287261962890625,
27500,4.3684539794921875,
27700,3.3553466796875,
27900,3.40927886962890625,
28100,4.7059326171875,
28300,4.6105804443359375,
28500,5.70522308349609375,
28700,5.7709197998046875,
28900,4.9585113525390625,
29100,4.94535064697265625,
29300,4.3802032470703125,
29500,5.46417236328125,
29700,4.29625701904296875,
29900,4.52097320556640625,
30100,3.874481201171875,
30300,3.78981781005859375,
30500,2.4416351318359375,
30700,1.87935638427734375,
30900,0.75884246826171875,
31100,-1.05615997314453125,
31300,-0.0845947265625,
31500,0.7243499755859375,
31700,-0.49793243408203125,
31900,-1.52870941162109375,
32100,-1.81415557861328125,
32300,-1.3424835205078125,
32500,-2.09879302978515625,
32700,-2.5883331298828125,
32900,-1.81288909912109375,
33100,-4.15607452392578125,
33300,-3.15478515625,
33500,-2.4004974365234375,
33700,-1.93343353271484375,
33900,-3.19264984130859375,
34100,-3.99028778076171875,
34300,-5.35373687744140625,
34500,-7.20970916748046875,
34700,-4.73162078857421875,
34900,-3.95416259765625,
35100,-3.9460601806640625,
35300,-2.4609222412109375,
35500,-3.909271240234375,
35700,-2.6916656494140625,
35900,-3.91251373291015625,
36100,-3.04578399658203125,
36300,-5.91634368896484375,
36500,-4.8223876953125,
36700,-4.96176910400390625,
36900,-3.90583038330078125,
37100,-0.49703216552734375,
37300,-1.03327178955078125,
37500,-6.73554229736328125,
37700,-5.64043426513671875,
37900,-3.90402984619140625,
38100,-4.74567413330078125,
38300,-4.69440460205078125,
38500,-6.509429931640625,
38700,-6.3362884521484375,
38900,-4.69824981689453125,
39100,-3.41223907470703125,
39300,-3.94766998291015625,
39500,-7.85744476318359375,
39700,-6.3740997314453125,
39900,-2.18102264404296875,
40100,-0.2723388671875,
40300,-2.9666595458984375,
40500,-4.834259033203125,
40700,-3.55108642578125,
40900,-5.42050933837890625,
41100,-3.29936981201171875,
41300,-3.5406036376953125,
41500,-4.32236480712890625,
41700,-1.395416259765625,
41900,-2.32990264892578125,
42100,-3.54074859619140625,
42300,-3.22150421142578125,
42500,-2.55713653564453125,
42700,-2.75992584228515625,
42900,-3.28493499755859375,
43100,-3.14093780517578125,
43300,-4.2122344970703125,
