sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,88.640000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,99.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,-6.90125274658203125,
9300,-6.19107818603515625,
9500,-6.22396087646484375,
9700,-6.66963958740234375,
9900,-7.0447540283203125,
10100,-6.04209136962890625,
10300,-6.44504547119140625,
10500,-7.46749114990234375,
10700,-5.33225250244140625,
10900,-6.64098358154296875,
11100,-3.608978271484375,
11300,-6.6461334228515625,
11500,-7.5687408447265625,
11700,-6.7637786865234375,
11900,-7.099945068359375,
12100,-7.72347259521484375,
12300,-5.9748687744140625,
12500,-5.09355926513671875,
12700,-8.1896820068359375,
12900,-7.36135101318359375,
13100,-6.2688751220703125,
13300,-6.56163787841796875,
13500,-6.89011383056640625,
13700,-6.98287200927734375,
13900,-6.9027557373046875,
14100,-6.0750274658203125,
14300,-9.35198211669921875,
14500,-6.3666534423828125,
14700,-6.83563995361328125,
14900,-5.88094329833984375,
15100,-6.5385284423828125,
15300,-7.5735931396484375,
15500,-7.36933135986328125,
15700,-5.6850433349609375,
15900,-5.3045196533203125,
16100,-6.04560089111328125,
16300,-6.675445556640625,
16500,-5.72869873046875,
16700,-6.22043609619140625,
16900,-6.708099365234375,
17100,-8.28619384765625,
17300,-6.600616455078125,
17500,-7.7033843994140625,
17700,-5.92350006103515625,
17900,-6.16873931884765625,
18100,-5.98345184326171875,
18300,-4.28802490234375,
18500,1.93895721435546875,
18700,-5.149993896484375,
18900,-5.29285430908203125,
19100,-3.61870574951171875,
19300,-3.68017578125,
19500,-5.65196990966796875,
19700,-5.083709716796875,
19900,-4.96756744384765625,
20100,-2.58942413330078125,
20300,-2.30498504638671875,
20500,-3.51004791259765625,
20700,-4.3264923095703125,
20900,-4.463623046875,
21100,-4.161865234375,
21300,-1.4043426513671875,
21500,-0.00460052490234375,
21700,0.9653167724609375,
21900,17.83008575439453125,
22100,20.89937591552734375,
22300,12.387481689453125,
22500,3.987579345703125,
22700,2.88185882568359375,
22900,-1.00379180908203125,
23100,-1.18857574462890625,
23300,-1.26470947265625,
23500,-2.20503997802734375,
23700,-1.50507354736328125,
23900,-0.49603271484375,
24100,-2.10845184326171875,
24300,-0.41265106201171875,
24500,-2.09937286376953125,
24700,-0.705718994140625,
24900,-1.09610748291015625,
25100,-1.1270599365234375,
25300,-0.7462005615234375,
25500,-1.37114715576171875,
25700,-1.83831787109375,
25900,0.01905059814453125,
26100,-1.18370819091796875,
26300,-0.3636474609375,
26500,0.21282196044921875,
26700,0.4141845703125,
26900,-0.82013702392578125,
27100,-0.59893798828125,
27300,1.6023101806640625,
27500,0.805877685546875,
27700,1.7466278076171875,
27900,1.91314697265625,
28100,2.5762939453125,
28300,2.49346923828125,
28500,1.70558929443359375,
28700,2.66281890869140625,
28900,2.5806732177734375,
29100,2.82744598388671875,
29300,3.0432891845703125,
29500,1.82476806640625,
29700,2.9868927001953125,
29900,3.39943695068359375,
30100,2.049072265625,
30300,1.22015380859375,
30500,0.29579925537109375,
30700,0.687774658203125,
30900,-0.9186248779296875,
31100,-0.97370147705078125,
31300,-1.3252105712890625,
31500,-2.4067840576171875,
31700,-2.13545989990234375,
31900,-0.419677734375,
32100,-2.5193939208984375,
32300,-2.079345703125,
32500,-1.0044403076171875,
32700,-2.94341278076171875,
32900,-4.2020263671875,
33100,-4.093536376953125,
33300,-4.4311676025390625,
33500,-4.26757049560546875,
33700,-3.87574005126953125,
33900,-3.4669189453125,
34100,-3.08074188232421875,
34300,-4.05666351318359375,
34500,-3.5604400634765625,
34700,-4.0657196044921875,
34900,-3.7704925537109375,
35100,-4.03847503662109375,
35300,-2.46610260009765625,
35500,-2.95095062255859375,
35700,-3.5053558349609375,
35900,-3.04317474365234375,
36100,-4.68438720703125,
36300,-3.49573516845703125,
36500,-4.3599853515625,
36700,-3.26064300537109375,
36900,-2.90190887451171875,
37100,-0.615875244140625,
37300,-1.81050872802734375,
37500,-3.61492156982421875,
37700,-3.55063629150390625,
37900,-3.4065704345703125,
38100,-4.40673828125,
38300,-4.7227020263671875,
38500,-6.11582183837890625,
38700,-5.71067047119140625,
38900,-5.287139892578125,
39100,-5.8837738037109375,
39300,-5.6993255615234375,
39500,-4.99859619140625,
39700,-5.54788970947265625,
39900,-0.60064697265625,
40100,-1.40343475341796875,
40300,-5.859283447265625,
40500,-4.971923828125,
40700,-4.761138916015625,
40900,-3.3801116943359375,
41100,-6.36358642578125,
41300,-4.155670166015625,
41500,-5.12542724609375,
41700,-5.42458343505859375,
41900,-5.22740936279296875,
42100,-5.020965576171875,
42300,-3.6027069091796875,
42500,-4.1135101318359375,
42700,-2.886932373046875,
42900,-4.33489990234375,
43100,-4.8114013671875,
43300,-4.352935791015625,
43500,-1.873321533203125,
