sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,102.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,3317,
154500,31.77211761474609375,
163500,29.858154296875,
172500,30.16811370849609375,
181500,25.39470672607421875,
190500,28.03404998779296875,
199500,28.045745849609375,
208500,27.7393646240234375,
217500,25.9794158935546875,
226500,26.0353240966796875,
235500,31.9080657958984375,
244500,29.98697662353515625,
253500,26.3466949462890625,
262500,27.719940185546875,
271500,25.36704254150390625,
280500,25.95577239990234375,
289500,28.7965087890625,
298500,25.78313446044921875,
307500,27.04399871826171875,
316500,31.0637054443359375,
325500,29.9860992431640625,
334500,29.1265106201171875,
343500,28.428680419921875,
352500,29.380889892578125,
361500,26.45081329345703125,
370500,25.89650726318359375,
379500,26.24637603759765625,
388500,25.31394195556640625,
397500,26.0226898193359375,
406500,26.93662261962890625,
415500,27.547271728515625,
424500,26.31243133544921875,
433500,27.15627288818359375,
442500,25.71591949462890625,
451500,25.4179534912109375,
460500,22.65216064453125,
469500,26.05612945556640625,
478500,29.77504730224609375,
487500,30.27034759521484375,
496500,29.3220062255859375,
505500,27.23964691162109375,
514500,26.5470733642578125,
523500,27.82213592529296875,
532500,29.36481475830078125,
541500,24.595550537109375,
550500,26.6819915771484375,
559500,28.2691192626953125,
568500,30.5841827392578125,
577500,28.52124786376953125,
586500,27.57501983642578125,
595500,32.0772857666015625,
604500,30.2674407958984375,
613500,31.7721405029296875,
622500,26.3043975830078125,
631500,32.4604034423828125,
640500,33.028533935546875,
649500,33.110382080078125,
658500,30.1385955810546875,
667500,30.18495941162109375,
676500,38.07080078125,
685500,32.44745635986328125,
694500,32.8112945556640625,
703500,32.047821044921875,
712500,39.2284698486328125,
721500,38.57022857666015625,
730500,38.05495452880859375,
739500,33.3766021728515625,
748500,35.532928466796875,
757500,43.220737457275390625,
766500,39.73995208740234375,
775500,37.94603729248046875,
784500,37.1522369384765625,
793500,44.72603607177734375,
802500,42.8928680419921875,
811500,45.6882476806640625,
820500,40.6715545654296875,
829500,41.108978271484375,
838500,47.417728424072265625,
847500,50.320446014404296875,
856500,46.483280181884765625,
865500,45.39525604248046875,
874500,48.793094635009765625,
883500,51.29972076416015625,
892500,55.840213775634765625,
901500,51.10373687744140625,
910500,47.83977508544921875,
919500,49.136600494384765625,
928500,56.9627685546875,
937500,51.650012969970703125,
946500,50.3059539794921875,
955500,50.995655059814453125,
964500,52.819171905517578125,
973500,55.104587554931640625,
982500,48.7081451416015625,
991500,48.3040313720703125,
1000500,51.0696258544921875,
1009500,51.794666290283203125,
1018500,46.172016143798828125,
1027500,44.3185272216796875,
1036500,51.1776275634765625,
1045500,45.718502044677734375,
1054500,45.55879974365234375,
1063500,42.60082244873046875,
1072500,45.315402984619140625,
1081500,45.84572601318359375,
1090500,40.3095703125,
1099500,37.11159515380859375,
1108500,37.63742828369140625,
1117500,43.59665679931640625,
1126500,33.38806915283203125,
1135500,32.98752593994140625,
1144500,37.66110992431640625,
1153500,37.75152587890625,
1162500,35.58400726318359375,
1171500,29.1384735107421875,
1180500,31.1034088134765625,
1189500,30.35037994384765625,
1198500,32.94024658203125,
1207500,25.9328765869140625,
1216500,25.11656951904296875,
1225500,30.16217803955078125,
1234500,30.8867034912109375,
1243500,27.80420684814453125,
1252500,25.37755584716796875,
1261500,22.4993133544921875,
1270500,26.28116607666015625,
1279500,25.56806182861328125,
1288500,22.02922821044921875,
1297500,20.06015777587890625,
1306500,18.42244720458984375,
1315500,26.47894287109375,
1324500,26.10996246337890625,
1333500,22.09857940673828125,
1342500,20.99337005615234375,
1351500,20.94873046875,
1360500,24.479156494140625,
1369500,24.503692626953125,
1378500,21.98638153076171875,
1387500,21.89249420166015625,
1396500,26.016204833984375,
1405500,27.2438201904296875,
1414500,26.86763763427734375,
1423500,26.8239593505859375,
1432500,22.49817657470703125,
1441500,25.6652374267578125,
1450500,23.57122802734375,
1459500,21.2221221923828125,
1468500,21.9733428955078125,
1477500,27.79651641845703125,
1486500,23.10411834716796875,
1495500,27.78155517578125,
1504500,28.13141632080078125,
1513500,27.29616546630859375,
1522500,27.3382720947265625,
1531500,26.0275115966796875,
1540500,29.02942657470703125,
1549500,27.78408050537109375,
1558500,31.2484283447265625,
1567500,31.16963958740234375,
1576500,30.584197998046875,
1585500,33.2964324951171875,
1594500,33.58034515380859375,
1603500,31.56169891357421875,
1612500,32.66631317138671875,
1621500,34.7227325439453125,
1630500,32.91156005859375,
1639500,37.92755889892578125,
1648500,34.27559661865234375,
1657500,34.8723602294921875,
1666500,38.07427978515625,
1675500,40.75295257568359375,
1684500,37.60274505615234375,
1693500,37.07855224609375,
1702500,35.0555572509765625,
1711500,36.4539947509765625,
1720500,40.93508148193359375,
