sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,514980000.000000,Hz
Freq Offset,0.000000,Hz
Start,30060000.000000,Hz
Stop,999900000.000000,Hz
Span,969840000.000000,Hz
Ref Level,102.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,120000.000000,Hz
VBW,1000000.000000,Hz
SWT,0.674000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,8083,
30060000,32.6725311279296875,
30180000,33.4422760009765625,
30300000,35.27745819091796875,
30420000,35.779296875,
30540000,39.4492645263671875,
30660000,41.9579925537109375,
30780000,45.36248779296875,
30900000,48.297367095947265625,
31020000,50.8186187744140625,
31140000,50.31118011474609375,
31260000,46.646411895751953125,
31380000,45.175537109375,
31500000,44.468257904052734375,
31620000,41.14249420166015625,
31740000,42.02510833740234375,
31860000,39.90583038330078125,
31980000,42.10660552978515625,
32100000,39.55338287353515625,
32220000,37.9741058349609375,
32340000,38.029693603515625,
32460000,38.33077239990234375,
32580000,36.87270355224609375,
32700000,38.5186920166015625,
32820000,41.58152008056640625,
32940000,40.3905487060546875,
33060000,40.15264892578125,
33180000,35.3343963623046875,
33300000,35.0892486572265625,
33420000,43.853015899658203125,
33540000,42.6036376953125,
33660000,41.7704620361328125,
33780000,39.93890380859375,
33900000,39.84444427490234375,
34020000,38.201202392578125,
34140000,39.5939483642578125,
34260000,40.99407196044921875,
34380000,41.66936492919921875,
34500000,44.745754241943359375,
34620000,34.17401123046875,
34740000,35.8608245849609375,
34860000,40.812896728515625,
34980000,37.44516754150390625,
35100000,39.84799957275390625,
35220000,36.93502044677734375,
35340000,36.10192108154296875,
35460000,30.184906005859375,
35580000,35.35364532470703125,
35700000,39.77353668212890625,
35820000,35.7517242431640625,
35940000,43.555072784423828125,
36060000,35.7144012451171875,
36180000,33.07470703125,
36300000,33.4346923828125,
36420000,30.22408294677734375,
36540000,30.44570159912109375,
36660000,30.1499176025390625,
36780000,30.51717376708984375,
36900000,32.225616455078125,
37020000,28.27618408203125,
37140000,27.29323577880859375,
37260000,24.40032196044921875,
37380000,24.085845947265625,
37500000,26.35607147216796875,
37620000,25.9617462158203125,
37740000,28.40087890625,
37860000,24.66748809814453125,
37980000,27.50704193115234375,
38100000,25.84217071533203125,
38220000,26.3221435546875,
38340000,25.1955108642578125,
38460000,22.00119781494140625,
38580000,24.22373199462890625,
38700000,21.05313873291015625,
38820000,21.9407196044921875,
38940000,23.8540191650390625,
39060000,23.2007293701171875,
39180000,24.837554931640625,
39300000,23.504119873046875,
39420000,23.5525360107421875,
39540000,23.8864898681640625,
39660000,24.28821563720703125,
39780000,24.37650299072265625,
39900000,25.33345794677734375,
40020000,24.47415924072265625,
40140000,20.225738525390625,
40260000,20.93511962890625,
40380000,24.88428497314453125,
40500000,24.44695281982421875,
40620000,24.23715972900390625,
40740000,23.642791748046875,
40860000,23.74405670166015625,
40980000,23.72435760498046875,
41100000,23.24346160888671875,
41220000,22.685760498046875,
41340000,24.34185791015625,
41460000,22.94405364990234375,
41580000,20.9625701904296875,
41700000,21.2185516357421875,
41820000,23.13745880126953125,
41940000,30.94231414794921875,
42060000,23.83635711669921875,
42180000,22.33966827392578125,
42300000,22.05294036865234375,
42420000,22.34940338134765625,
42540000,22.35381317138671875,
42660000,21.802947998046875,
42780000,22.82401275634765625,
42900000,21.879730224609375,
43020000,21.1290283203125,
43140000,21.09349822998046875,
43260000,22.23671722412109375,
43380000,21.4005889892578125,
43500000,22.9875030517578125,
43620000,22.85916900634765625,
43740000,23.0457305908203125,
43860000,22.90026092529296875,
43980000,21.67755889892578125,
44100000,22.90227508544921875,
44220000,23.20757293701171875,
44340000,22.69561004638671875,
44460000,21.6028289794921875,
44580000,22.02451324462890625,
44700000,21.9370269775390625,
44820000,22.04449462890625,
44940000,22.0287628173828125,
45060000,21.50646209716796875,
45180000,20.405364990234375,
45300000,21.03354644775390625,
45420000,21.8033905029296875,
45540000,21.56226348876953125,
45660000,21.17601776123046875,
45780000,21.91072845458984375,
45900000,19.93730926513671875,
46020000,19.26436614990234375,
46140000,21.1005401611328125,
46260000,20.14098358154296875,
46380000,21.1381378173828125,
46500000,21.03801727294921875,
46620000,21.3848419189453125,
46740000,21.379241943359375,
46860000,21.12540435791015625,
46980000,20.8914947509765625,
47100000,21.7243194580078125,
47220000,21.08863067626953125,
47340000,21.50201416015625,
47460000,20.797393798828125,
47580000,20.62693023681640625,
47700000,19.89012908935546875,
47820000,20.882904052734375,
47940000,24.673431396484375,
48060000,21.5747528076171875,
48180000,22.0015106201171875,
48300000,21.56984710693359375,
48420000,20.92052459716796875,
48540000,21.47362518310546875,
48660000,21.64499664306640625,
48780000,21.5220489501953125,
48900000,21.47180938720703125,
49020000,21.58994293212890625,
49140000,22.20932769775390625,
49260000,22.0136260986328125,
49380000,22.1625823974609375,
49500000,21.8434906005859375,
49620000,21.19873046875,
49740000,22.897430419921875,
49860000,21.93482208251953125,
49980000,22.459991455078125,
50100000,21.5211181640625,
50220000,21.59210968017578125,
